hemisphere,schaefer_parcel_index,num_vertices,mean_ncsnr,top_snr_rank_within_hemi,in_top_snr_200,top200_token_index,dominant_roi,functional_level,dominant_overlap,all_roi_overlaps
lh,0,442,0.20950886607170105,167,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-words"",""roi"":""mfs-words"",""group"":""Word"",""level"":""high_level"",""overlap"":0.16968325791855204}]"
lh,1,346,0.35341551899909973,74,True,73,Word,high_level,0.884393063583815,"[{""collection"":""floc-words"",""roi"":""mfs-words"",""group"":""Word"",""level"":""high_level"",""overlap"":0.884393063583815},{""collection"":""floc-bodies"",""roi"":""FBA-1"",""group"":""Body"",""level"":""high_level"",""overlap"":0.1416184971098266},{""collection"":""floc-words"",""roi"":""VWFA-2"",""group"":""Word"",""level"":""high_level"",""overlap"":0.028901734104046242}]"
lh,2,214,0.32777121663093567,87,True,86,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.02336448598130841}]"
lh,3,252,0.4623631536960602,48,True,47,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-words"",""roi"":""mfs-words"",""group"":""Word"",""level"":""high_level"",""overlap"":0.23809523809523808},{""collection"":""floc-bodies"",""roi"":""FBA-1"",""group"":""Body"",""level"":""high_level"",""overlap"":0.031746031746031744},{""collection"":""floc-faces"",""roi"":""FFA-1"",""group"":""Face"",""level"":""high_level"",""overlap"":0.023809523809523808}]"
lh,4,276,0.3491996228694916,76,True,75,Scene,high_level,1.0,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":1.0}]"
lh,5,401,0.47391507029533386,44,True,43,Face,high_level,0.6533665835411472,"[{""collection"":""floc-faces"",""roi"":""FFA-1"",""group"":""Face"",""level"":""high_level"",""overlap"":0.6533665835411472},{""collection"":""floc-bodies"",""roi"":""FBA-1"",""group"":""Body"",""level"":""high_level"",""overlap"":0.32917705735660846},{""collection"":""floc-words"",""roi"":""mfs-words"",""group"":""Word"",""level"":""high_level"",""overlap"":0.07231920199501247},{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.007481296758104738},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.0024937655860349127}]"
lh,6,137,0.6251530051231384,17,True,16,Face,high_level,0.8321167883211679,"[{""collection"":""floc-faces"",""roi"":""FFA-1"",""group"":""Face"",""level"":""high_level"",""overlap"":0.8321167883211679},{""collection"":""floc-bodies"",""roi"":""FBA-1"",""group"":""Body"",""level"":""high_level"",""overlap"":0.7664233576642335},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.27007299270072993}]"
lh,7,564,0.5118691921234131,35,True,34,Scene,high_level,0.50177304964539,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.50177304964539}]"
lh,8,245,0.4118892252445221,60,True,59,V4,low_level,0.6040816326530613,"[{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.6040816326530613},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.27755102040816326},{""collection"":""floc-faces"",""roi"":""FFA-1"",""group"":""Face"",""level"":""high_level"",""overlap"":0.2},{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.07346938775510205},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.00816326530612245}]"
lh,9,178,0.5347240567207336,27,True,26,V4,low_level,0.7528089887640449,"[{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.7528089887640449},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.21348314606741572}]"
lh,10,326,0.6395871043205261,15,True,14,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.08588957055214724},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.06748466257668712}]"
lh,11,410,0.48745402693748474,39,True,38,Word,high_level,0.9536585365853658,"[{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.9536585365853658},{""collection"":""floc-faces"",""roi"":""FFA-1"",""group"":""Face"",""level"":""high_level"",""overlap"":0.17560975609756097},{""collection"":""floc-bodies"",""roi"":""FBA-1"",""group"":""Body"",""level"":""high_level"",""overlap"":0.17073170731707318},{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.0024390243902439024}]"
lh,12,381,0.6811837553977966,11,True,10,Scene,high_level,0.8818897637795275,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.8818897637795275}]"
lh,13,408,0.7592077255249023,5,True,4,V2,low_level,0.553921568627451,"[{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.553921568627451},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.4166666666666667},{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.029411764705882353}]"
lh,14,225,0.45930930972099304,49,True,48,V4,low_level,0.5955555555555555,"[{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.5955555555555555},{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.49333333333333335},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.48},{""collection"":""floc-words"",""roi"":""OWFA"",""group"":""Word"",""level"":""high_level"",""overlap"":0.44}]"
