dataset_idx,nsd_image_id,coco_image_id,coco_split,face_confidence,face_area_ratio,face_count,person_area_ratio,person_count,clip_face,clip_body,clip_scene,clip_word,clip_other,ocr_available,ocr_character_count,ocr_area_ratio,face_flag,body_flag,scene_flag,word_flag,confirmatory_category,exclusion_reason,face_selection_score,body_selection_score,scene_selection_score,word_selection_score,analysis_role
93,8394,278962,train2017,0.0,0.0,0,0.0,0,0.012413626536726952,0.02882474847137928,0.019821109250187874,0.911961019039154,0.026979465037584305,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.2413626536726951e-08,2.882474847137928e-08,0.019821109250187874,0.911961019039154,exploratory_word_no_ocr
961,69839,505661,train2017,0.0,0.0,0,0.0,0,0.0020216063130646944,0.045199647545814514,0.009186578914523125,0.8586785793304443,0.08491357415914536,False,0,0.0,False,False,False,True,,no_confirmatory_category,2.021606313064694e-09,4.519964754581451e-08,0.009186578914523125,0.8586785793304443,exploratory_word_no_ocr
550,41710,134169,train2017,0.0,0.0,0,0.35972721172863925,2,0.0018320250092074275,0.07211761176586151,0.006407636217772961,0.8480534553527832,0.07158929109573364,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.8320250092074274e-09,0.02594266739706187,0.00410263510738205,0.8480534553527832,exploratory_word_no_ocr
914,66342,229947,train2017,0.0,0.0,0,0.1544454610475352,3,0.031838614493608475,0.13832701742649078,0.02773461490869522,0.7386314868927002,0.0634683296084404,False,0,0.0,False,False,False,True,,no_confirmatory_category,3.183861449360847e-08,0.021363979981764807,0.023451129522145946,0.7386314868927002,exploratory_word_no_ocr
63,6521,273138,train2017,0.0,0.0,0,0.0,0,0.023179475218057632,0.036744941025972366,0.026945672929286957,0.7380474805831909,0.17508243024349213,False,0,0.0,False,False,False,True,,no_confirmatory_category,2.3179475218057632e-08,3.6744941025972366e-08,0.026945672929286957,0.7380474805831909,exploratory_word_no_ocr
799,57681,458616,train2017,0.0,0.0,0,0.09700096590909091,1,0.016505325213074684,0.04380031302571297,0.11669640988111496,0.6344712972640991,0.1885266751050949,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.6505325213074684e-08,0.004248672670614694,0.10537674540452363,0.6344712972640991,exploratory_word_no_ocr
659,48374,422268,train2017,0.0,0.0,0,0.0,0,0.04897550120949745,0.12136301398277283,0.010768026113510132,0.6299320459365845,0.18896141648292542,False,0,0.0,False,False,False,True,,no_confirmatory_category,4.897550120949745e-08,1.2136301398277283e-07,0.010768026113510132,0.6299320459365845,exploratory_word_no_ocr
600,44184,143594,train2017,0.0,0.0,0,0.0,0,0.007338516879826784,0.031305763870477676,0.09443151205778122,0.5820750594139099,0.2848491370677948,False,0,0.0,False,False,False,True,,no_confirmatory_category,7.338516879826784e-09,3.130576387047768e-08,0.09443151205778122,0.5820750594139099,exploratory_word_no_ocr
819,59585,203937,train2017,0.0,0.0,0,0.0,0,0.011547173373401165,0.06580645591020584,0.04059483855962753,0.5608226656913757,0.32122886180877686,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.1547173373401165e-08,6.580645591020584e-08,0.04059483855962753,0.5608226656913757,exploratory_word_no_ocr
580,43288,402199,train2017,0.0,0.0,0,0.0,0,0.006408302113413811,0.09514841437339783,0.02825281396508217,0.5535873174667358,0.3166032135486603,False,0,0.0,False,False,False,True,,no_confirmatory_category,6.40830211341381e-09,9.514841437339782e-08,0.02825281396508217,0.5535873174667358,exploratory_word_no_ocr
