dataset_idx,nsd_image_id,coco_image_id,coco_split,face_confidence,face_area_ratio,face_count,person_area_ratio,person_count,clip_face,clip_body,clip_scene,clip_word,clip_other,ocr_available,ocr_character_count,ocr_area_ratio,face_flag,body_flag,scene_flag,word_flag,confirmatory_category,exclusion_reason,face_selection_score,body_selection_score,scene_selection_score,word_selection_score
1,2990,262239,train2017,0.9858892921130857,0.024116262975778548,1,0.18803654709507042,2,0.012847711332142353,0.23874439299106598,0.11344636976718903,0.5638576745986938,0.0711037740111351,False,0,0.0,True,False,False,True,Face,,0.02377596543360333,0.04489267129634858,0.09211430611569621,0.5638576745986938
16,3729,2372,train2017,0.9921578330013908,0.06944775086505191,1,0.3007546668252342,1,0.23986385762691498,0.5692108869552612,0.04853399470448494,0.08090376108884811,0.06148744374513626,False,0,0.0,True,False,False,False,Face,,0.06890313000509037,0.17119283065952565,0.03393716929743989,0.08090376108884811
20,3856,274108,train2017,0.9945887272426259,0.04094671280276817,1,0.26504615836588546,2,0.010943599976599216,0.026632094755768776,0.03077329695224762,0.8992881178855896,0.032362841069698334,False,0,0.0,True,False,False,True,Face,,0.04072513897127453,0.0070587344042527585,0.022616952814801777,0.8992881178855896
29,4423,4442,train2017,0.9985412506455469,0.017987543252595155,1,0.09078407512441451,1,0.026141561567783356,0.32994967699050903,0.14383536577224731,0.057761237025260925,0.442312091588974,False,0,0.0,True,True,False,False,,ambiguous_confirmatory_categories,0.017961303935487234,0.029954176263182676,0.13077740512043196,0.057761237025260925
51,5583,8053,train2017,0.9857327850475807,0.018624221453287196,1,0.03136274551046381,1,0.0050696455873548985,0.3411984145641327,0.11570250988006592,0.010745958425104618,0.5272834897041321,False,0,0.0,True,False,False,False,Face,,0.01835850568249169,0.010700919044548621,0.11207376150777548,0.010745958425104618
77,7480,13969,train2017,0.984386920850075,0.047883737024221454,2,0.12242097319347316,2,0.09936437755823135,0.4151894152164459,0.06985658407211304,0.0931684598326683,0.322421133518219,False,0,0.0,True,False,False,False,Face,,0.04713612444806809,0.05082789227042632,0.06130467306603329,0.0931684598326683
103,8933,18367,train2017,0.8886817475617735,0.02128166089965398,1,0.08989980615234375,1,0.04864111170172691,0.5577601194381714,0.23533278703689575,0.05048598721623421,0.10777997970581055,False,0,0.0,True,True,False,False,,ambiguous_confirmatory_categories,0.018912623599321565,0.0501425266169997,0.21417641510098803,0.05048598721623421
128,10610,23392,train2017,0.9972846897200917,0.015551557093425606,1,0.1532139601672535,1,0.007315108552575111,0.7222449779510498,0.029321443289518356,0.10110298544168472,0.14001543819904327,False,0,0.0,True,True,False,False,,ambiguous_confirmatory_categories,0.015509329790581247,0.11065801328279103,0.02482898884531171,0.10110298544168472
135,11617,26388,train2017,0.9850679262862286,0.07972318339100345,1,0.20429068354800936,1,0.7465859055519104,0.17878460884094238,0.002438541501760483,0.015514488331973553,0.0566764660179615,False,0,0.0,True,False,False,False,Face,,0.07853275093991248,0.0365240299479796,0.0019403701915056443,0.015514488331973553
158,13138,292845,train2017,0.7765714590577366,0.18743806228373702,1,0.6381499049686788,1,0.6724628210067749,0.206694558262825,0.012337394058704376,0.061871740967035294,0.04663345217704773,False,0,0.0,True,False,False,False,Face,,0.14555904951063656,0.13190211271296484,0.004464287212581035,0.061871740967035294
177,14793,355458,train2017,0.9100996394349927,0.08512664359861592,1,0.3629540988890208,1,0.07376091182231903,0.23775462806224823,0.052387986332178116,0.029977697879076004,0.6061187982559204,False,0,0.0,True,False,False,False,Face,,0.07747372764541148,0.0862940167850276,0.033373551960372075,0.029977697879076004
188,15793,300881,train2017,0.9988005692792266,0.05209134948096886,1,0.11552605587675648,1,0.3487549126148224,0.49579790234565735,0.035711780190467834,0.036357417702674866,0.08337795734405518,False,0,0.0,True,False,False,False,Face,,0.05202886951611484,0.05727757616996306,0.0315861390767254,0.036357417702674866
