dataset_idx,nsd_image_id,coco_image_id,coco_split,face_confidence,face_area_ratio,face_count,person_area_ratio,person_count,clip_face,clip_body,clip_scene,clip_word,clip_other,ocr_available,ocr_character_count,ocr_area_ratio,face_flag,body_flag,scene_flag,word_flag,confirmatory_category,exclusion_reason,face_selection_score,body_selection_score,scene_selection_score,word_selection_score
1,2990,262239,train2017,0.9858892921130857,0.024116262975778548,1,0.18803654709507042,2,0.012847711332142353,0.23874439299106598,0.11344636976718903,0.5638576745986938,0.0711037740111351,False,0,0.0,True,False,False,True,Face,,0.02377596543360333,0.04489267129634858,0.09211430611569621,0.5638576745986938
20,3856,274108,train2017,0.9945887272426259,0.04094671280276817,1,0.26504615836588546,2,0.010943599976599216,0.026632094755768776,0.03077329695224762,0.8992881178855896,0.032362841069698334,False,0,0.0,True,False,False,True,Face,,0.04072513897127453,0.0070587344042527585,0.022616952814801777,0.8992881178855896
34,4768,267647,train2017,0.966519038285463,0.035432525951557096,2,0.0,0,0.21537718176841736,0.19257116317749023,0.013947878032922745,0.488803893327713,0.08929993212223053,False,0,0.0,False,False,False,True,,no_confirmatory_category,0.034246210906723674,1.9257116317749022e-07,0.013947878032922745,0.488803893327713
63,6521,273138,train2017,0.0,0.0,0,0.0,0,0.023179475218057632,0.036744941025972366,0.026945672929286957,0.7380474805831909,0.17508243024349213,False,0,0.0,False,False,False,True,,no_confirmatory_category,2.3179475218057632e-08,3.6744941025972366e-08,0.026945672929286957,0.7380474805831909
93,8394,278962,train2017,0.0,0.0,0,0.0,0,0.012413626536726952,0.02882474847137928,0.019821109250187874,0.911961019039154,0.026979465037584305,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.2413626536726951e-08,2.882474847137928e-08,0.019821109250187874,0.911961019039154
176,14644,573830,train2017,0.0,0.0,0,0.0,0,0.052942048758268356,0.061848316341638565,0.054239049553871155,0.4627758860588074,0.36819469928741455,False,0,0.0,False,False,False,True,,no_confirmatory_category,5.2942048758268355e-08,6.184831634163856e-08,0.054239049553871155,0.4627758860588074
205,16917,263276,train2017,0.0,0.0,0,0.0,0,0.019420405849814415,0.13131165504455566,0.1400093287229538,0.46532896161079407,0.2439296990633011,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.9420405849814413e-08,1.3131165504455565e-07,0.1400093287229538,0.46532896161079407
210,17374,567837,train2017,0.0,0.0,0,0.0,0,0.1763225644826889,0.18884527683258057,0.03654974326491356,0.4679361879825592,0.13034629821777344,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.763225644826889e-07,1.8884527683258057e-07,0.03654974326491356,0.4679361879825592
406,30563,352724,train2017,0.0,0.0,0,0.0,0,0.003138746367767453,0.06795886158943176,0.1212705597281456,0.47719570994377136,0.33043602108955383,False,0,0.0,False,False,False,True,,no_confirmatory_category,3.138746367767453e-09,6.795886158943176e-08,0.1212705597281456,0.47719570994377136
418,31049,92288,train2017,0.0,0.0,0,0.0,0,0.010787157341837883,0.22934330999851227,0.10147884488105774,0.4798843562602997,0.17850631475448608,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.0787157341837882e-08,2.2934330999851227e-07,0.10147884488105774,0.4798843562602997
434,32307,97218,train2017,0.971366240288692,0.0784,2,0.22667212027994788,13,0.006776888854801655,0.05745711177587509,0.1646163910627365,0.7526950836181641,0.018454549834132195,False,0,0.0,True,False,False,True,Face,,0.07615511323863346,0.013023925351399568,0.12730244466771296,0.7526950836181641
448,33521,101952,train2017,0.0,0.0,0,0.0,0,0.019303806126117706,0.12262332439422607,0.18539616465568542,0.49071550369262695,0.18196117877960205,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.9303806126117706e-08,1.2262332439422606e-07,0.18539616465568542,0.49071550369262695
550,41710,134169,train2017,0.0,0.0,0,0.35972721172863925,2,0.0018320250092074275,0.07211761176586151,0.006407636217772961,0.8480534553527832,0.07158929109573364,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.8320250092074274e-09,0.02594266739706187,0.00410263510738205,0.8480534553527832
580,43288,402199,train2017,0.0,0.0,0,0.0,0,0.006408302113413811,0.09514841437339783,0.02825281396508217,0.5535873174667358,0.3166032135486603,False,0,0.0,False,False,False,True,,no_confirmatory_category,6.40830211341381e-09,9.514841437339782e-08,0.02825281396508217,0.5535873174667358
600,44184,143594,train2017,0.0,0.0,0,0.0,0,0.007338516879826784,0.031305763870477676,0.09443151205778122,0.5820750594139099,0.2848491370677948,False,0,0.0,False,False,False,True,,no_confirmatory_category,7.338516879826784e-09,3.130576387047768e-08,0.09443151205778122,0.5820750594139099
659,48374,422268,train2017,0.0,0.0,0,0.0,0,0.04897550120949745,0.12136301398277283,0.010768026113510132,0.6299320459365845,0.18896141648292542,False,0,0.0,False,False,False,True,,no_confirmatory_category,4.897550120949745e-08,1.2136301398277283e-07,0.010768026113510132,0.6299320459365845
676,49234,425712,train2017,0.0,0.0,0,0.0,0,0.007599165663123131,0.07370089739561081,0.17195691168308258,0.5029658675193787,0.24377712607383728,False,0,0.0,False,False,False,True,,no_confirmatory_category,7.599165663123131e-09,7.37008973956108e-08,0.17195691168308258,0.5029658675193787
799,57681,458616,train2017,0.0,0.0,0,0.09700096590909091,1,0.016505325213074684,0.04380031302571297,0.11669640988111496,0.6344712972640991,0.1885266751050949,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.6505325213074684e-08,0.004248672670614694,0.10537674540452363,0.6344712972640991
819,59585,203937,train2017,0.0,0.0,0,0.0,0,0.011547173373401165,0.06580645591020584,0.04059483855962753,0.5608226656913757,0.32122886180877686,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.1547173373401165e-08,6.580645591020584e-08,0.04059483855962753,0.5608226656913757
868,63182,294744,train2017,0.0,0.0,0,0.0,0,0.016836289316415787,0.25216785073280334,0.16130954027175903,0.4974392056465149,0.07224701344966888,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.6836289316415787e-08,2.5216785073280335e-07,0.16130954027175903,0.4974392056465149
914,66342,229947,train2017,0.0,0.0,0,0.1544454610475352,3,0.031838614493608475,0.13832701742649078,0.02773461490869522,0.7386314868927002,0.0634683296084404,False,0,0.0,False,False,False,True,,no_confirmatory_category,3.183861449360847e-08,0.021363979981764807,0.023451129522145946,0.7386314868927002
929,67237,344729,train2017,0.0,0.0,0,0.11086602971311475,1,0.011813445948064327,0.09208954870700836,0.01265686098486185,0.4582870900630951,0.42515307664871216,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.1813445948064327e-08,0.010209602643218517,0.011253645058839393,0.4582870900630951
