category,condition,seed,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Face,Body_unrelated_equal4_mean,12345,1,-0.01032645651354778,0.21820447680059943,0.7036441564559937,0.6811003684997559,0.4352653920650482
Face,Body_unrelated_equal4_mean,12345,16,0.061613137456893584,0.18931751637981775,0.7094069123268127,0.3725232481956482,0.12337061762809753
Face,Body_unrelated_equal4_mean,12345,20,-0.07562060933310304,0.2581415979628775,0.6378514766693115,0.6443234086036682,0.4135573208332062
Face,Body_unrelated_equal4_mean,12345,51,-0.004576172254200376,0.2734375590715137,0.7904097437858582,0.4341292679309845,0.05516739934682846
Face,Body_unrelated_equal4_mean,12345,77,-0.10213716333586664,0.23387470462125104,0.7035567760467529,0.5059041976928711,-0.0029452480375766754
Face,Body_unrelated_equal4_mean,12345,135,0.04220207847698202,0.2939717157486933,0.7494766116142273,0.48363661766052246,0.18681153655052185
Face,Body_unrelated_equal4_mean,12345,158,-0.13794981804167453,0.25005492642115074,0.781381368637085,0.45661112666130066,0.19884739816188812
Face,Body_unrelated_equal4_mean,12345,177,0.26983707426065123,0.3044995883775001,0.6283085346221924,0.6451790928840637,0.24647250771522522
Face,Body_unrelated_equal4_mean,12345,188,0.13268917055413834,0.4870625318186452,0.7090888023376465,0.47358086705207825,0.010881507769227028
Face,Body_unrelated_equal4_mean,12345,218,0.13724404599854859,0.12833694676971608,0.6937292218208313,0.5941107869148254,0.4784228801727295
Face,Body_unrelated_equal4_mean,12345,287,0.035855419783208185,0.35297018731148416,0.7341105341911316,0.495088130235672,0.1839127391576767
Face,Body_unrelated_equal4_mean,12345,292,0.17075313386609456,0.3178346394894489,0.6814098358154297,0.48009994626045227,0.271061509847641
Face,Body_unrelated_equal4_mean,12345,295,-0.17702527732574408,0.4759518641841216,0.6252779960632324,0.27887725830078125,-0.015533621422946453
Face,Body_unrelated_equal4_mean,12345,340,-0.04457742140009034,0.19902145254618328,0.6592110395431519,0.4452170729637146,0.3503415286540985
Face,Body_unrelated_equal4_mean,12345,375,0.06994961939025197,0.11852904737587476,0.7175261974334717,0.4917173385620117,0.06188756600022316
Face,Body_unrelated_equal4_mean,12345,384,0.19089008032182117,0.3255200857992962,0.7840814590454102,0.6736243963241577,0.3377552926540375
Face,Body_unrelated_equal4_mean,12345,415,-0.07092506196226019,0.5310913572875771,0.6591772437095642,0.5484523773193359,0.18113580346107483
Face,Body_unrelated_equal4_mean,12345,434,0.18291716925159837,0.2748666330303452,0.7353101968765259,0.5193135738372803,0.18373902142047882
Face,Body_unrelated_equal4_mean,12345,465,-0.13985649270693223,0.23187394754840143,0.6903324127197266,0.3571892976760864,0.22610455751419067
Face,Body_unrelated_equal4_mean,12345,498,0.029386442229311922,0.43063272612870435,0.6909501552581787,0.7394046187400818,0.7778494358062744
Face,Body_unrelated_equal4_mean,12345,507,0.1997657402258773,0.36801214851476,0.6621341705322266,0.4796276390552521,0.17528675496578217
Face,Body_unrelated_equal4_mean,12345,529,0.05971498966665167,0.4107017584843525,0.6691676378250122,0.6142095327377319,0.25740283727645874
Face,Body_unrelated_equal4_mean,12345,561,0.13463100907749792,0.1538438053786745,0.6523774862289429,0.4210270047187805,0.16321523487567902
Face,Body_unrelated_equal4_mean,12345,588,0.09017174258961225,0.18067292928011208,0.697172224521637,0.547056257724762,0.11237422376871109
Face,Body_unrelated_equal4_mean,12345,606,-0.019994306554260283,0.2878263359547389,0.679378867149353,0.45910632610321045,0.08436085283756256
Face,Body_unrelated_equal4_mean,12345,678,-0.041634921397072096,0.2485281548016417,0.6965265274047852,0.5907868146896362,0.15342934429645538
Face,Body_unrelated_equal4_mean,12345,708,0.23759938974023032,0.3252419368821397,0.8065605163574219,0.5743880271911621,0.2201833724975586
Face,Body_unrelated_equal4_mean,12345,756,-0.11302540161920117,0.4500910286984809,0.7411273121833801,0.7024124264717102,0.2993625998497009
Face,Body_unrelated_equal4_mean,12345,762,0.014948088589825305,0.16757087267860252,0.6572879552841187,0.7042293548583984,0.3308044373989105
Face,Body_unrelated_equal4_mean,12345,781,0.0024291925018531304,0.40061079090316154,0.6584280133247375,0.6901196241378784,0.3309195041656494
Face,Body_unrelated_equal4_mean,12345,789,0.1253278903739222,0.223398555800704,0.6831609606742859,0.5166947245597839,0.09718756377696991
Face,Body_unrelated_equal4_mean,12345,817,-0.30951714029747296,0.2589851265807473,0.7748015522956848,0.6124453544616699,0.5586471557617188
Face,Body_unrelated_equal4_mean,12345,820,-0.021519085105536805,0.2194207809924741,0.696652889251709,0.5223178863525391,0.15092189610004425
Face,Body_unrelated_equal4_mean,12345,838,0.15895460722604585,0.3721600287425757,0.664965808391571,0.46036800742149353,0.059872377663850784
Face,Body_unrelated_equal4_mean,12345,877,-0.01734192433928023,0.19757138223778584,0.7747122049331665,0.605268120765686,0.6992533206939697
Face,Body_unrelated_equal4_mean,12345,887,0.04385852297686829,0.19629398051646277,0.6555125713348389,0.5577065348625183,0.27365997433662415
Face,Body_unrelated_equal4_mean,12345,973,-0.06306790664611867,0.3706459649921555,0.7408263087272644,0.5446893572807312,0.26803290843963623
Face,Face_full_mean,12345,1,-0.0434672247861863,0.21357802012459887,0.7208386659622192,0.5710133910179138,0.32840496301651
Face,Face_full_mean,12345,16,0.07723849007768752,0.1929547251990698,0.6964817047119141,0.3881230354309082,0.15347765386104584
Face,Face_full_mean,12345,20,-0.08466608703596343,0.2437561904809712,0.631345808506012,0.692276656627655,0.3775443434715271
Face,Face_full_mean,12345,51,-0.0008526670673383915,0.2665316161857421,0.7799858450889587,0.40665295720100403,0.037066392600536346
Face,Face_full_mean,12345,77,-0.12118658680685888,0.23090828279690198,0.721630334854126,0.5464946031570435,0.038080040365457535
Face,Face_full_mean,12345,135,0.010871850199278908,0.3387002288794085,0.6846446990966797,0.5334687232971191,0.24722391366958618
Face,Face_full_mean,12345,158,-0.17368017189873813,0.2208327914741584,0.7718361616134644,0.4134334325790405,0.141388401389122
Face,Face_full_mean,12345,177,0.030933143012474875,0.3127908015892824,0.6702103018760681,0.6083082556724548,0.20413315296173096
Face,Face_full_mean,12345,188,0.13095596438252388,0.485561485662838,0.7272160053253174,0.4294252395629883,0.005995342507958412
Face,Face_full_mean,12345,218,0.10950983621168923,0.13026054935387724,0.6956223845481873,0.5452994108200073,0.4192773103713989
Face,Face_full_mean,12345,287,0.05034493295868015,0.35825076837874453,0.7246325016021729,0.4976150095462799,0.1376868337392807
Face,Face_full_mean,12345,292,0.161250252171405,0.3221781955417442,0.6860053539276123,0.46960222721099854,0.14019763469696045
Face,Face_full_mean,12345,295,-0.1826922328645218,0.4763796350545534,0.634653627872467,0.26634278893470764,0.005716400686651468
Face,Face_full_mean,12345,340,-0.055294089478733315,0.22010692519830463,0.6704300045967102,0.523997962474823,0.26526015996932983
Face,Face_full_mean,12345,375,0.06751173787120672,0.12016777680747416,0.6932810544967651,0.5317848920822144,0.02696540206670761
Face,Face_full_mean,12345,384,0.19602757188907244,0.3265959256696137,0.7869020700454712,0.6700856685638428,0.3547767102718353
Face,Face_full_mean,12345,415,-0.0968839359354801,0.5376330881383393,0.6504877209663391,0.5386171936988831,0.2429235875606537
Face,Face_full_mean,12345,434,0.2065608817157804,0.2768431820979058,0.7109355926513672,0.5594882369041443,0.19465912878513336
Face,Face_full_mean,12345,465,-0.13081975193070947,0.236011079933342,0.6966612935066223,0.42064523696899414,0.20173127949237823
Face,Face_full_mean,12345,498,0.04443465727039531,0.4332925704490548,0.7319883704185486,0.7586833238601685,0.8340634703636169
Face,Face_full_mean,12345,507,0.18904708762519257,0.4025904826647335,0.6585158109664917,0.5336089730262756,0.17128220200538635
Face,Face_full_mean,12345,529,0.03506362737952926,0.4240288470218234,0.6741673350334167,0.6241698861122131,0.23413045704364777
Face,Face_full_mean,12345,561,0.12219978500377922,0.15820024778384345,0.6546236872673035,0.36679744720458984,0.14675453305244446
Face,Face_full_mean,12345,588,0.11557010267940197,0.17654431291286046,0.7194079756736755,0.5208219289779663,0.03378322347998619
Face,Face_full_mean,12345,606,-0.01618220919980029,0.2997505019230508,0.6793299317359924,0.3994390368461609,0.024159764871001244
