bh_q_primary_15_tests,bh_q_within_design,category,ci95,metric,random_causal_loss_mean,sign_flip_p,target_causal_loss_mean,target_minus_random_mean
0.3153592320383981,0.21023948802559872,Face,"[0.0003986765218553573, 0.005716490243094141]",pixel_corr,-0.003296357553124145,0.04204789760511975,-0.000401144544424009,0.002895213008700136
0.9630882092259022,0.983300834958252,Face,"[-0.0008467979466327857, 0.0013566171129376632]",ssim,-0.000277892793030178,0.6667666616669167,-2.5984191890716916e-05,0.0002519086011394611
0.983300834958252,0.983300834958252,Face,"[-0.0017533177754900477, 0.0016393232452976806]",lpips,-0.0008174477396784602,0.856407179641018,-0.0009849640700194215,-0.0001675163303409612
0.983300834958252,0.983300834958252,Face,"[-0.00653126236286249, 0.0071725202264549485]",clip,0.0019089918684315023,0.983300834958252,0.0018242404267594624,-8.475144167204032e-05
0.8046026270115066,0.52022398880056,Face,"[-0.010284139968639425, 0.002284053942494862]",dino,0.0038333753358807646,0.208089595520224,-0.000292095242420564,-0.00412547057830133
0.8046026270115066,0.6258020432311718,Body,"[-0.015299218229807336, 0.005053868675209174]",pixel_corr,0.0009714486406443123,0.36113194340282984,-0.003899726009138744,-0.004871174649783055
0.8046026270115066,0.6258020432311718,Body,"[-0.0068475764454910895, 0.0024743392408910925]",ssim,-0.0021712440149530827,0.3754812259387031,-0.0043427632892172165,-0.002171519274264133
0.983300834958252,0.936653167341633,Body,"[-0.004273238557577134, 0.0048913002093633005]",lpips,0.007931989510854087,0.936653167341633,0.008120001951853435,0.00018801244099934854
0.25798710064496777,0.08599570021498926,Body,"[0.0036346626619497904, 0.030250380420188093]",clip,0.007945988575617475,0.01719914004299785,0.024618578950564064,0.016672590374946592
0.9245371064780095,0.6934028298585071,Body,"[-0.015449300132028292, 0.030368058144557283]",dino,0.023172066242744527,0.5547222638868057,0.030223553839605306,0.007051487596860775
0.8046026270115066,0.7316300851624086,Scene,"[-0.015013588652170578, 0.004732020379581345]",pixel_corr,0.003073339353265091,0.32113394330283485,-0.0020177275674132934,-0.005091066920678383
0.8046026270115066,0.7316300851624086,Scene,"[-0.008294894146013147, 0.002104684384762914]",ssim,0.007841531830229651,0.24268786560671968,0.004619334737964235,-0.003222197092265416
0.8230838458077097,0.7316300851624086,Scene,"[-0.006193245118856431, 0.002530710384249687]",lpips,0.0018831029335657761,0.43897805109744514,0.00010572711626688647,-0.001777375817298889
0.9630882092259022,0.863706814659267,Scene,"[-0.014532122225562733, 0.009272129200895622]",clip,0.017496153116226196,0.7062646867656617,0.015084063013394673,-0.002412090102831524
0.983300834958252,0.863706814659267,Scene,"[-0.020275586015785416, 0.01544017459483972]",dino,0.015223788277866938,0.863706814659267,0.013609963698933523,-0.001613824578933417
