category,condition,seed,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Scene,Body_unrelated_equal4_mean,12345,14,0.6702025030211475,0.5533245161634488,0.5079728960990906,0.4531836211681366,0.05949446186423302
Scene,Body_unrelated_equal4_mean,12345,15,-0.0512262755753684,0.35984940898574985,0.8190327286720276,0.7351449131965637,0.06953853368759155
Scene,Body_unrelated_equal4_mean,12345,36,0.17222014456461418,0.25694045747069716,0.6770449280738831,0.42875126004219055,0.05379021540284157
Scene,Body_unrelated_equal4_mean,12345,39,-0.5302399845402463,0.2875648999950455,0.5487427711486816,0.7092034220695496,0.3833145797252655
Scene,Body_unrelated_equal4_mean,12345,126,-0.18053236382465088,0.4219899399892422,0.7359869480133057,0.9032724499702454,0.33744388818740845
Scene,Body_unrelated_equal4_mean,12345,132,0.0842831637935939,0.10237759450815624,0.6905491948127747,0.5345216989517212,0.13631485402584076
Scene,Body_unrelated_equal4_mean,12345,167,0.19394653580859075,0.10231948834439386,0.7156355381011963,0.4611940383911133,0.021526344120502472
Scene,Body_unrelated_equal4_mean,12345,196,0.11355683905806385,0.2759239418216304,0.6548080444335938,0.7449617981910706,0.10757962614297867
Scene,Body_unrelated_equal4_mean,12345,199,0.1661389736170071,0.20372650783493232,0.6921867728233337,0.6677765846252441,0.20449306070804596
Scene,Body_unrelated_equal4_mean,12345,214,-0.0879652728532436,0.3264636695088553,0.6865075826644897,0.6602350473403931,0.12066331505775452
Scene,Body_unrelated_equal4_mean,12345,241,0.14335096025196167,0.34710028566825957,0.6997126936912537,0.49575600028038025,0.04987907409667969
Scene,Body_unrelated_equal4_mean,12345,242,-0.06654743067336505,0.4675579525996695,0.8214057087898254,0.5074624419212341,0.01452808827161789
Scene,Body_unrelated_equal4_mean,12345,245,-0.06992593146196907,0.4223277223556004,0.6751328110694885,0.5737082958221436,0.010532276704907417
Scene,Body_unrelated_equal4_mean,12345,249,-0.023566658538688844,0.3761085180060929,0.8279891610145569,0.4539026916027069,0.016002345830202103
Scene,Body_unrelated_equal4_mean,12345,282,0.09126912771049382,0.3286871760188569,0.6806634664535522,0.4374227523803711,0.010309947654604912
Scene,Body_unrelated_equal4_mean,12345,289,-0.16714954818559416,0.3601644370910643,0.7577924728393555,0.6658031344413757,0.1591186374425888
Scene,Body_unrelated_equal4_mean,12345,303,0.13083083114740784,0.4499679685238654,0.7446925044059753,0.6291041374206543,0.005552173592150211
Scene,Body_unrelated_equal4_mean,12345,314,-0.07335588387489453,0.19148203105953257,0.8147017955780029,0.609743595123291,0.047060586512088776
Scene,Body_unrelated_equal4_mean,12345,393,0.35896330445360375,0.3911200491230185,0.6549845933914185,0.8172191977500916,0.362011581659317
