bh_q_within_design,category,ci95,design,metric,random_causal_loss_mean,sign_flip_p,target_causal_loss_mean,target_minus_random_mean
0.8564071796410179,Body,"[-0.005212263743133818, 0.00644092654722638]",equal4,pixel_corr,0.0024450892056890757,0.856407179641018,0.002996766041841782,0.0005516768361527055
0.5855332233388331,Body,"[-0.001669151213410979, 0.0036593504118154255]",equal4,ssim,0.00045469781720244184,0.46842657867106646,0.001464342481801035,0.0010096446645985933
0.16207522957185475,Body,"[-0.004739374909798304, 0.00014753497044245301]",equal4,lpips,0.0036374328136444096,0.08114594270286486,0.0014049557844797772,-0.0022324770291646326
0.006999650017499125,Body,"[-0.017632548799117406, -0.004690043535331885]",equal4,clip,0.0029321886897087104,0.001399930003499825,-0.00810685435930888,-0.011039043049017592
0.16207522957185475,Body,"[-0.020555987744312727, 0.001268483979906883]",equal4,dino,0.005866489954913655,0.09724513774311284,-0.003533318877841036,-0.00939980883275469
0.7683365831708415,Scene,"[-0.0024270081190766227, 0.004558127476546219]",equal4,pixel_corr,-0.0008154227181645153,0.5976201189940503,0.00016110028825311814,0.0009765230064176334
0.7683365831708415,Scene,"[-0.0045930662976868784, 0.0006699760732266575]",equal4,ssim,0.0020200523991447746,0.3808809559522024,0.0005540148550767258,-0.001466037544068048
0.7299635018249087,Scene,"[-0.003909180585543315, 0.0005581333726644486]",equal4,lpips,0.0016476623217264808,0.14599270036498174,-4.728893438975015e-05,-0.0016949512561162316
0.7683365831708415,Scene,"[-0.003413320260246594, 0.005998612496256827]",equal4,clip,0.0019550577402114864,0.6146692665366732,0.003202067613601685,0.0012470098733901984
0.8448577571121444,Scene,"[-0.007372814716340508, 0.00902661742577329]",equal4,dino,-0.004781041884794831,0.8448577571121444,-0.003948334626232584,0.0008327072585622466
