category,metric,zero_excess,mean_excess,same_direction,zero_ci95,mean_ci95,zero_q,mean_q,sample_count,mean_minus_zero,difference_ci95,difference_sign_flip_p,difference_bh_q_secondary_15
Face,pixel_corr,0.0018952631669310908,0.002895213008700136,True,"[-0.0009741353213702104, 0.0047984401201920605]","[0.0003986765218553573, 0.005716490243094141]",0.6016842015042104,0.3153592320383981,37,0.0009999498417690455,"[-0.0018243022848608403, 0.0038059030309168518]",0.5005249737513124,0.7507874606269687
Face,ssim,0.00021118220385043404,0.0002519086011394611,True,"[-0.0010205256131934426, 0.0014272929339644268]","[-0.0008467979466327857, 0.0013566171129376632]",0.7947459769868649,0.9630882092259022,37,4.072639728902714e-05,"[-0.0013827532769928829, 0.0013188234660286556]",0.9565521723913805,0.959702014899255
Face,lpips,-0.001095865975629102,-0.0001675163303409612,True,"[-0.0028281875666197353, 0.0006784596287452418]","[-0.0017533177754900477, 0.0016393232452976806]",0.6016842015042104,0.983300834958252,37,0.0009283496452881409,"[-0.0007403803704021214, 0.002679785248395558]",0.31218439078046095,0.5853457327133643
Face,clip,0.00017353242582028995,-8.475144167204032e-05,False,"[-0.007732563006716808, 0.008013031149769685]","[-0.00653126236286249, 0.0071725202264549485]",0.9662016899155043,0.983300834958252,37,-0.0002582838674923307,"[-0.009106094401564685, 0.009223305342030957]",0.959702014899255,0.959702014899255
Face,dino,-0.005111688968666772,-0.00412547057830133,True,"[-0.01607454731945066, 0.0070118787793258]","[-0.010284139968639425, 0.002284053942494862]",0.6596942880128721,0.8046026270115066,37,0.000986218390365441,"[-0.011417182811351307, 0.01358807317360917]",0.8821558922053897,0.959702014899255
Body,pixel_corr,-0.0037121189730849125,-0.004871174649783055,True,"[-0.01344813616099517, 0.006426438327158626]","[-0.015299218229807336, 0.005053868675209174]",0.6596942880128721,0.8046026270115066,50,-0.0011590556766981435,"[-0.008440736566360008, 0.006178810119586752]",0.7552122393880306,0.959702014899255
Body,ssim,-0.0071615216518439336,-0.002171519274264133,True,"[-0.01148221160761735, -0.0025720574061773513]","[-0.0068475764454910895, 0.0024743392408910925]",0.042747862606869656,0.8046026270115066,50,0.0049900023775798,"[-0.0014423047526350614, 0.011035644997406068]",0.11419429028548572,0.5853457327133643
Body,lpips,0.0028962206045786538,0.00018801244099934854,True,"[-0.0019570421000321718, 0.007648693553606665]","[-0.004273238557577134, 0.0048913002093633005]",0.6016842015042104,0.983300834958252,50,-0.0027082081635793043,"[-0.007284703449408211, 0.0019027864158153533]",0.26903654817259137,0.5853457327133643
Body,clip,0.0021064107020696025,0.016672590374946592,True,"[-0.009095669093728066, 0.014488707860310864]","[0.0036346626619497904, 0.030250380420188093]",0.7947459769868649,0.25798710064496777,50,0.01456617967287699,"[0.0024947897315025338, 0.026569757623970503]",0.02334883255837208,0.35023248837558124
Body,dino,-0.0060342817536244795,0.007051487596860775,False,"[-0.025355994738529748, 0.013131803024901696]","[-0.015449300132028292, 0.030368058144557283]",0.6864656767161642,0.9245371064780095,50,0.013085769350485256,"[-0.009111268352585222, 0.03676727440242733]",0.26838658067096643,0.5853457327133643
Scene,pixel_corr,-0.010486445644958264,-0.005091066920678383,True,"[-0.024966209761988788, 0.003632232908843576]","[-0.015013588652170578, 0.004732020379581345]",0.6016842015042104,0.8046026270115066,50,0.005395378724279882,"[-0.005399857458844253, 0.01690449379339349]",0.3778311084445778,0.6297185140742962
Scene,ssim,-0.0033502139982042245,-0.003222197092265416,True,"[-0.010002210579828372, 0.003784074319599368]","[-0.008294894146013147, 0.002104684384762914]",0.6596942880128721,0.8046026270115066,50,0.00012801690593880748,"[-0.0035361415994484982, 0.0038114204937414044]",0.9462026898655067,0.959702014899255
Scene,lpips,0.002083542466163635,-0.001777375817298889,False,"[-0.0038248545318841937, 0.00789106226960818]","[-0.006193245118856431, 0.002530710384249687]",0.6596942880128721,0.8230838458077097,50,-0.003860918283462524,"[-0.009469480597972868, 0.001846443096796671]",0.1911904404779761,0.5853457327133643
Scene,clip,0.005552588045597078,-0.002412090102831524,False,"[-0.004069852600991724, 0.01560005156546831]","[-0.014532122225562733, 0.009272129200895622]",0.6016842015042104,0.9630882092259022,50,-0.0079646781484286,"[-0.020037616426746053, 0.002245163496832046]",0.17169141542922853,0.5853457327133643
Scene,dino,0.007952343988232314,-0.001613824578933417,False,"[-0.004271962816702824, 0.020694477153018413]","[-0.020275586015785416, 0.01544017459483972]",0.6016842015042104,0.983300834958252,50,-0.009566168567165733,"[-0.028063493956361586, 0.006185668474505653]",0.3015349232538373,0.5853457327133643
