control_replicate,control_token_index,design,dominant_overlap,dominant_roi,group_overlap__Body,group_overlap__Face,group_overlap__Scene,group_overlap__V1,group_overlap__V2,group_overlap__V3,group_overlap__V4,group_overlap__Word,hemisphere,max_off_target_overlap,mean_ncsnr,num_groups_ge_0.10,num_groups_ge_0.25,num_groups_ge_0.40,num_groups_ge_0.50,num_vertices,purity_margin,roi_overlap__floc-bodies__EBA,roi_overlap__floc-bodies__FBA-1,roi_overlap__floc-bodies__FBA-2,roi_overlap__floc-faces__FFA-1,roi_overlap__floc-faces__FFA-2,roi_overlap__floc-faces__OFA,roi_overlap__floc-places__OPA,roi_overlap__floc-places__PPA,roi_overlap__floc-places__RSC,roi_overlap__floc-words__OWFA,roi_overlap__floc-words__VWFA-1,roi_overlap__floc-words__VWFA-2,roi_overlap__floc-words__mfs-words,roi_overlap__prf-visualrois__V1d,roi_overlap__prf-visualrois__V1v,roi_overlap__prf-visualrois__V2d,roi_overlap__prf-visualrois__V2v,roi_overlap__prf-visualrois__V3d,roi_overlap__prf-visualrois__V3v,roi_overlap__prf-visualrois__hV4,schaefer_parcel_index,target_category,target_group_max_overlap,target_off_target_dual_high_overlap,target_overlap_ge_0.10,target_overlap_ge_0.25,target_overlap_ge_0.40,target_overlap_ge_0.50,top200_token_index
1,26,full,0.7528089887640449,V4,0.0,0.0,0.0,0.0,0.0,0.21348314606741572,0.7528089887640449,0.0,lh,0.7528089887640449,0.5347240567207336,2,1,1,1,178,-0.7528089887640449,,,,,,,,,,,,,,,,,,,0.21348314606741572,0.7528089887640449,9,Face,0.0,False,False,False,False,False,26
1,38,full,0.9536585365853658,Word,0.17073170731707318,0.17560975609756097,0.0,0.0,0.0,0.0,0.0,0.9536585365853658,lh,0.9536585365853658,0.48745402693748474,3,1,1,1,410,-0.7780487804878049,0.0024390243902439024,0.17073170731707318,,0.17560975609756097,,,,,,,0.9536585365853658,,,,,,,,,,11,Face,0.17560975609756097,False,True,False,False,False,38
1,45,full,0.7355769230769231,Scene,0.0,0.0,0.7355769230769231,0.0,0.0,0.0,0.0,0.0,lh,0.7355769230769231,0.4684760272502899,1,1,1,1,208,-0.7355769230769231,,,,,,,0.7355769230769231,,,,,,,,,,,,,,187,Face,0.0,False,False,False,False,False,45
1,146,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.49398019909858704,0,0,0,0,243,0.0,,,,,,,,,,,,,,,,,,,,,358,Face,0.0,False,False,False,False,False,146
2,29,full,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,1.0,0.5202304720878601,1,1,1,1,146,-1.0,,,,,,,1.0,,,,,,,,,,,,,,188,Face,0.0,False,False,False,False,False,29
2,42,full,0.5432692307692307,Body,0.5432692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.3701923076923077,lh,0.5432692307692307,0.4748196601867676,2,2,1,1,208,-0.5432692307692307,0.5432692307692307,,,,,,,,,,0.3701923076923077,,,,,,,,,,178,Face,0.0,False,False,False,False,False,42
2,49,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.45416495203971863,0,0,0,0,365,0.0,,,,,,,,,,,,,,,,,,,,,233,Face,0.0,False,False,False,False,False,49
2,148,full,0.0,Unlabeled,0.42857142857142855,0.4318936877076412,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.42857142857142855,0.4778825640678406,2,2,2,0,301,0.0033222591362126463,,,0.42857142857142855,,0.4318936877076412,,,,,,,,,,,,,,,,184,Face,0.4318936877076412,False,True,True,True,False,148
3,19,full,0.0,Unlabeled,0.0,0.0,0.33516483516483514,0.0,0.0,0.31868131868131866,0.0,0.0,lh,0.33516483516483514,0.5719456672668457,2,2,0,0,182,-0.33516483516483514,,,,,,,0.33516483516483514,,,,,,,,,,,0.31868131868131866,,,63,Face,0.0,False,False,False,False,False,19
3,37,full,0.8087649402390438,Body,0.8087649402390438,0.0,0.00796812749003984,0.0,0.0,0.0,0.0,0.0,lh,0.8087649402390438,0.4923276901245117,1,1,1,1,251,-0.8087649402390438,0.8087649402390438,,,,,,0.00796812749003984,,,,,,,,,,,,,,184,Face,0.0,False,False,False,False,False,37
3,50,full,0.0,Unlabeled,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,lh,0.3333333333333333,0.45015156269073486,1,1,0,0,360,-0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,,,,,,,,468,Face,0.0,False,False,False,False,False,50
3,154,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.45569831132888794,0,0,0,0,292,0.0,,,,,,,,,,,,,,,,,,,,,249,Face,0.0,False,False,False,False,False,154
4,23,full,0.803921568627451,Scene,0.0,0.0,0.803921568627451,0.0,0.0,0.0,0.0,0.0,lh,0.803921568627451,0.5457936525344849,1,1,1,1,102,-0.803921568627451,,,,,,,,,0.803921568627451,,,,,,,,,,,,62,Face,0.0,False,False,False,False,False,23
4,24,full,0.7621621621621621,Scene,0.0,0.0,0.7621621621621621,0.0,0.0,0.0,0.0,0.0,lh,0.7621621621621621,0.5441173315048218,1,1,1,1,370,-0.7621621621621621,,,,,,,0.7621621621621621,,,,,,,,,,,,,,71,Face,0.0,False,False,False,False,False,24
