category,dominant_overlap,dominant_roi,group_overlap__Body,group_overlap__Face,group_overlap__Scene,group_overlap__V1,group_overlap__V2,group_overlap__V3,group_overlap__V4,group_overlap__Word,hemisphere,max_off_target_overlap,mean_ncsnr,num_groups_ge_0.10,num_groups_ge_0.25,num_groups_ge_0.40,num_groups_ge_0.50,num_vertices,purity_margin,roi_overlap__floc-bodies__EBA,roi_overlap__floc-bodies__FBA-1,roi_overlap__floc-bodies__FBA-2,roi_overlap__floc-faces__FFA-1,roi_overlap__floc-faces__FFA-2,roi_overlap__floc-faces__OFA,roi_overlap__floc-places__OPA,roi_overlap__floc-places__PPA,roi_overlap__floc-places__RSC,roi_overlap__floc-words__OWFA,roi_overlap__floc-words__VWFA-1,roi_overlap__floc-words__VWFA-2,roi_overlap__floc-words__mfs-words,roi_overlap__prf-visualrois__V2v,roi_overlap__prf-visualrois__V3d,roi_overlap__prf-visualrois__V3v,roi_overlap__prf-visualrois__hV4,schaefer_parcel_index,target_group_max_overlap,target_off_target_dual_high_overlap,top200_token_index
Face,0.8321167883211679,Face,0.7664233576642335,0.8321167883211679,0.0,0.0,0.0,0.0,0.0,0.27007299270072993,lh,0.7664233576642335,0.6251530051231384,3,3,2,2,137,0.06569343065693434,,0.7664233576642335,,0.8321167883211679,,,,,,,0.27007299270072993,,,,,,,6,0.8321167883211679,True,16
Face,0.5540540540540541,Face,0.0,0.5540540540540541,0.0,0.0,0.036036036036036036,0.527027027027027,0.22522522522522523,0.2972972972972973,lh,0.527027027027027,0.552130937576294,4,3,2,2,222,0.027027027027027084,,,,,,0.5540540540540541,,,,0.2972972972972973,,,,0.036036036036036036,,0.527027027027027,0.22522522522522523,23,0.5540540540540541,True,22
Face,0.6533665835411472,Face,0.32917705735660846,0.6533665835411472,0.0,0.0,0.0,0.0,0.007481296758104738,0.07231920199501247,lh,0.32917705735660846,0.47391507029533386,2,2,1,1,401,0.3241895261845387,,0.32917705735660846,,0.6533665835411472,,,,,,,0.0024937655860349127,,0.07231920199501247,,,,0.007481296758104738,5,0.6533665835411472,False,43
Face,0.6178571428571429,Face,0.0,0.6178571428571429,0.0,0.0,0.0,0.0,0.225,0.5535714285714286,rh,0.5535714285714286,0.45943668484687805,3,2,2,2,280,0.06428571428571428,,,,,,0.6178571428571429,,,,0.5535714285714286,0.010714285714285714,,,,,,0.225,15,0.6178571428571429,True,152
Body,1.0,Body,1.0,0.05460750853242321,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.05460750853242321,0.7882688641548157,1,1,1,1,293,0.9453924914675768,1.0,,,,,0.05460750853242321,,,,,,,,,,,,41,1.0,False,1
Body,0.9553571428571429,Body,0.9553571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.7111992835998535,1,1,1,1,336,0.9553571428571429,0.9553571428571429,,,,,,,,,,,,,,,,,182,0.9553571428571429,False,7
Body,1.0,Body,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.6841720342636108,1,1,1,1,85,1.0,1.0,,,,,,,,,,,,,,,,,58,1.0,False,9
Body,0.5024875621890548,Body,0.5024875621890548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.6449609398841858,1,1,1,1,201,0.5024875621890548,0.5024875621890548,,,,,,,,,,,,,,,,,183,0.5024875621890548,False,12
Body,0.9774011299435028,Body,0.9774011299435028,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,lh,0.002824858757062147,0.6210088133811951,1,1,1,1,354,0.9745762711864406,0.9774011299435028,,,,,,,,,,0.002824858757062147,,,,,,,35,0.9774011299435028,False,18
Body,0.88268156424581,Body,0.88268156424581,0.0,0.09217877094972067,0.0,0.0,0.0,0.0,0.0,lh,0.09217877094972067,0.5291171669960022,1,1,1,1,358,0.7905027932960893,0.88268156424581,,,,,,0.09217877094972067,,,,,,,,,,,60,0.88268156424581,False,27
Body,0.9076923076923077,Body,0.9076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5204342603683472,1,1,1,1,130,0.9076923076923077,0.9076923076923077,,,,,,,,,,,,,,,,,44,0.9076923076923077,False,28
Body,0.8087649402390438,Body,0.8087649402390438,0.0,0.00796812749003984,0.0,0.0,0.0,0.0,0.0,lh,0.00796812749003984,0.4923276901245117,1,1,1,1,251,0.8007968127490039,0.8087649402390438,,,,,,0.00796812749003984,,,,,,,,,,,184,0.8087649402390438,False,37
Body,0.6684782608695652,Body,0.6684782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.48164424300193787,1,1,1,1,184,0.6684782608695652,0.6684782608695652,,,,,,,,,,,,,,,,,179,0.6684782608695652,False,39
Body,0.5432692307692307,Body,0.5432692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.3701923076923077,lh,0.3701923076923077,0.4748196601867676,2,2,1,1,208,0.17307692307692302,0.5432692307692307,,,,,,,,,,0.3701923076923077,,,,,,,178,0.5432692307692307,False,42
Body,0.60932944606414,Body,0.60932944606414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.46364814043045044,1,1,1,1,343,0.60932944606414,0.60932944606414,,,,,,,,,,,,,,,,,181,0.60932944606414,False,46
Body,0.9714285714285714,Body,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.794450581073761,1,1,1,1,280,0.9714285714285714,0.9714285714285714,,,,,,,,,,,,,,,,,33,0.9714285714285714,False,102
