category,condition,seed,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Body,Body_equal4_zero,12345,21,0.06525291407818071,0.22869753011730565,0.6529244184494019,0.7459589242935181,0.6081361770629883
Body,Body_equal4_zero,12345,38,-0.02670612174527731,0.2541729529243505,0.6799405813217163,0.7291752696037292,0.39049166440963745
Body,Body_equal4_zero,12345,40,0.24544054135174556,0.7015187981896961,0.5820764303207397,0.7269409894943237,0.23642781376838684
Body,Body_equal4_zero,12345,59,0.0326912850883268,0.30100785623903514,0.6587622165679932,0.43846097588539124,0.028497856110334396
Body,Body_equal4_zero,12345,88,0.2350311451159267,0.3378118195327044,0.7307790517807007,0.4046308100223541,0.02111341431736946
Body,Body_equal4_zero,12345,116,0.06845990267189378,0.21389004199311926,0.7853885293006897,0.6374354958534241,0.3758901357650757
Body,Body_equal4_zero,12345,133,-0.05632699346956996,0.5961026117511544,0.6653898358345032,0.48551300168037415,0.009887688793241978
Body,Body_equal4_zero,12345,161,0.08506489227348295,0.37208109043623044,0.6250737905502319,0.6858384013175964,0.6449358463287354
Body,Body_equal4_zero,12345,170,-0.07138145930719834,0.23123348984227912,0.639174222946167,0.6368869543075562,0.02436096780002117
Body,Body_equal4_zero,12345,179,0.046902415817880204,0.3057226812243533,0.7839654684066772,0.6029130220413208,0.15639466047286987
Body,Body_equal4_zero,12345,220,-0.2165441088846427,0.4193024326073316,0.7130870819091797,0.35804277658462524,0.08312922716140747
Body,Body_equal4_zero,12345,233,0.05549941191242676,0.16043054717083013,0.6798372864723206,0.4823415279388428,-0.0019023614004254341
Body,Body_equal4_zero,12345,257,-0.05774871334448193,0.22803191866770745,0.655966579914093,0.48833703994750977,0.0995560884475708
Body,Body_equal4_zero,12345,290,-0.10565518208466902,0.2651328905383952,0.7520321011543274,0.5412163138389587,0.21152739226818085
Body,Body_equal4_zero,12345,331,0.1925831428786972,0.27411559321985723,0.7523486614227295,0.4497813582420349,-0.0024612825363874435
Body,Body_equal4_zero,12345,339,0.060477597023433284,0.36299131349421687,0.679632306098938,0.7327530384063721,0.6137742400169373
Body,Body_equal4_zero,12345,355,-0.012768359549351503,0.5675093823766236,0.7306565046310425,0.6361839771270752,0.5838193893432617
Body,Body_equal4_zero,12345,366,-0.09590383666241807,0.3957041029610221,0.7271090745925903,0.7166627049446106,0.161581888794899
Body,Body_equal4_zero,12345,474,0.22137818370056161,0.23794276966272404,0.6620475053787231,0.4921356439590454,0.13904798030853271
Body,Body_equal4_zero,12345,492,0.19402102845801503,0.40346254793904296,0.6149436831474304,0.6562889814376831,0.45410290360450745
Body,Body_equal4_zero,12345,527,0.2444312671078498,0.2167824311394045,0.7747930884361267,0.48465844988822937,0.15495793521404266
Body,Body_equal4_zero,12345,530,-0.14583045604708708,0.48012932952208526,0.6685178279876709,0.6239556074142456,0.3563322424888611
Body,Body_equal4_zero,12345,542,-0.1281824432131987,0.31741722167476083,0.6248905658721924,0.6420773863792419,0.290696918964386
Body,Body_equal4_zero,12345,574,0.02011574470301276,0.541663418547626,0.6557044386863708,0.6250377297401428,0.6848995089530945
Body,Body_equal4_zero,12345,597,-0.10064618589285687,0.2847822291059228,0.7236161231994629,0.6225817799568176,0.081210657954216
Body,Body_equal4_zero,12345,619,0.0342631002958097,0.19778225271097175,0.6753920912742615,0.6467734575271606,0.5895525217056274
Body,Body_equal4_zero,12345,656,0.0596295056227756,0.2031778900833185,0.6734112501144409,0.5064591765403748,0.052990756928920746
Body,Body_equal4_zero,12345,661,-0.14202143682727286,0.30736568336882736,0.6726351380348206,0.6491243243217468,0.25739428400993347
Body,Body_equal4_zero,12345,664,0.06589199834317093,0.4808154712873501,0.7333652973175049,0.8349762558937073,0.5911073088645935
Body,Body_equal4_zero,12345,698,-0.12717490261390704,0.27053946209449026,0.7541608214378357,0.5856325030326843,0.05950808525085449
Body,Body_equal4_zero,12345,700,0.20162495901611158,0.27281322048238144,0.7124204635620117,0.40251681208610535,0.2058706283569336
Body,Body_equal4_zero,12345,716,-0.04509028778429213,0.225205552300788,0.6809315085411072,0.4704724848270416,0.0810881108045578
Body,Body_equal4_zero,12345,765,-0.037384408382989606,0.31534157867882184,0.7122039794921875,0.6324558258056641,0.24961735308170319
Body,Body_equal4_zero,12345,771,0.032837395306925844,0.38762769109964657,0.7116947770118713,0.6290954947471619,0.18507860600948334
Body,Body_equal4_zero,12345,786,0.008585642601270194,0.07851987873156271,0.8238199353218079,0.7137914896011353,0.43563875555992126
Body,Body_equal4_zero,12345,806,-0.04468880722345797,0.21399205153213155,0.6329936385154724,0.583406925201416,0.12561117112636566
Body,Body_equal4_zero,12345,813,0.10401359064744557,0.2023034576954932,0.7174555063247681,0.5278582572937012,0.04963911697268486
Body,Body_equal4_zero,12345,816,-0.09675501831324335,0.19602130170488583,0.6800123453140259,0.43006089329719543,0.17066600918769836
Body,Body_equal4_zero,12345,822,0.32878945811653426,0.3496993298880993,0.6341008543968201,0.36884909868240356,0.09068915247917175
Body,Body_equal4_zero,12345,826,0.4908000693912717,0.40002576915715987,0.6660861968994141,0.3312426805496216,0.07109073549509048
Body,Body_equal4_zero,12345,847,-0.0236727056744767,0.3280781952562418,0.6794220209121704,0.6549686193466187,0.10045111179351807
Body,Body_equal4_zero,12345,876,-0.0870298383977003,0.12593345184226956,0.743706464767456,0.37422090768814087,-0.027772845700383186
Body,Body_equal4_zero,12345,891,-0.1416989897753229,0.07888698035180755,0.7455150485038757,0.5082582831382751,0.08388710021972656
Body,Body_equal4_zero,12345,919,-0.015559215387251425,0.16501480821710626,0.7330304384231567,0.4480542838573456,0.24774444103240967
Body,Body_equal4_zero,12345,931,0.08770645755057485,0.29052034825392375,0.6679494380950928,0.7345492243766785,0.7158334255218506
Body,Body_equal4_zero,12345,933,0.16028921609079827,0.3531513218675943,0.6826337575912476,0.6243282556533813,0.39573419094085693
Body,Body_equal4_zero,12345,941,0.01499399224587017,0.3413883445729323,0.6528304815292358,0.6199185848236084,0.26663386821746826
Body,Body_equal4_zero,12345,960,0.03448813256617604,0.33656183634488124,0.736495852470398,0.6298531889915466,0.14087358117103577
Body,Body_equal4_zero,12345,968,0.03746123460784508,0.12122253781849905,0.6756192445755005,0.6296625733375549,0.23895524442195892
Body,Body_equal4_zero,12345,989,0.0850535637327921,0.5241346504681519,0.6857436895370483,0.8493436574935913,0.8100707530975342
Body,Body_full_zero,12345,21,0.04565754979317001,0.25477350758019907,0.6743825078010559,0.7318131923675537,0.5992620587348938
Body,Body_full_zero,12345,38,-0.03835468041355405,0.24283846634852482,0.6611657738685608,0.7464494109153748,0.28013932704925537
Body,Body_full_zero,12345,40,0.34669149039751307,0.7094118431789914,0.5598935484886169,0.8060115575790405,0.5490065813064575
Body,Body_full_zero,12345,59,0.03716815733644696,0.3144543239327662,0.6828148365020752,0.4805498421192169,0.031526848673820496
Body,Body_full_zero,12345,88,0.08926704189398661,0.34385289478536585,0.7210485339164734,0.387428879737854,0.009084216319024563
Body,Body_full_zero,12345,116,0.11569337186233297,0.19760280064027536,0.8592967987060547,0.6954681873321533,0.6157517433166504
Body,Body_full_zero,12345,133,-0.09444239397496729,0.5721338907284553,0.6970192790031433,0.4409300684928894,0.3024875819683075
Body,Body_full_zero,12345,161,0.029123247657276485,0.36728666205035676,0.6246901750564575,0.675728976726532,0.5770617723464966
Body,Body_full_zero,12345,170,-0.11078145911621924,0.26441611184871855,0.6179629564285278,0.6197634935379028,0.039827995002269745
Body,Body_full_zero,12345,179,-0.03139531020910464,0.30784022797324423,0.7916327118873596,0.6405059099197388,0.2377554476261139
Body,Body_full_zero,12345,220,-0.0849587272847608,0.42943760513330037,0.6648851037025452,0.5558990240097046,0.12312816083431244
Body,Body_full_zero,12345,233,0.18518080332420309,0.17799519269275715,0.7083694934844971,0.5855950117111206,0.29549509286880493
Body,Body_full_zero,12345,257,-0.03779682635120713,0.23809054304353722,0.6594560742378235,0.5072299242019653,0.08650220185518265
Body,Body_full_zero,12345,290,-0.08238604015288689,0.28543190621010917,0.7732197046279907,0.5702744126319885,0.21655292809009552
Body,Body_full_zero,12345,331,0.1867566286112384,0.26832287334558236,0.7234433889389038,0.3904534876346588,-0.01784474402666092
Body,Body_full_zero,12345,339,0.05021649015890188,0.33587305314377713,0.6716110706329346,0.6652012467384338,0.46377700567245483
Body,Body_full_zero,12345,355,-0.018263701194549974,0.584200028987089,0.7223097085952759,0.5877624750137329,0.39386504888534546
Body,Body_full_zero,12345,366,-0.12521496119973147,0.3738305034788208,0.733856201171875,0.5810574293136597,0.033420223742723465
Body,Body_full_zero,12345,474,0.2709257650220322,0.23463655140488876,0.6731828451156616,0.5142895579338074,0.12214849889278412
