category,condition,seed,dataset_idx,pixel_corr,ssim,lpips,clip,dino
Face,Body_unrelated_equal4_zero,12345,1,-0.009299606780956026,0.22015836660230034,0.6974122524261475,0.6915327310562134,0.5022183656692505
Face,Body_unrelated_equal4_zero,12345,16,0.07319762878795168,0.195319250442425,0.7059329748153687,0.3493068516254425,0.09135321527719498
Face,Body_unrelated_equal4_zero,12345,20,-0.08288410372919383,0.24268434180510357,0.6311838626861572,0.7018955945968628,0.3628021478652954
Face,Body_unrelated_equal4_zero,12345,51,-0.015335215371727943,0.26833983839136105,0.7826566100120544,0.44502273201942444,0.028497852385044098
Face,Body_unrelated_equal4_zero,12345,77,-0.1282994634431547,0.2292443608019887,0.712939977645874,0.5136337876319885,0.032103098928928375
Face,Body_unrelated_equal4_zero,12345,135,0.03308797883920835,0.24540812322411498,0.7061178088188171,0.530055820941925,0.31036698818206787
Face,Body_unrelated_equal4_zero,12345,158,-0.1743163094264741,0.21971242603098878,0.7732735872268677,0.4277021288871765,0.15484917163848877
Face,Body_unrelated_equal4_zero,12345,177,0.2742228518425869,0.306434341736503,0.6270732879638672,0.6593589782714844,0.2990419864654541
Face,Body_unrelated_equal4_zero,12345,188,0.11355912641457146,0.4853059798312316,0.7330726385116577,0.49663177132606506,-0.005751872435212135
Face,Body_unrelated_equal4_zero,12345,218,0.12758097863901394,0.13260457023318248,0.6992475986480713,0.6075223088264465,0.48399144411087036
Face,Body_unrelated_equal4_zero,12345,287,0.03584201397385641,0.35189013255312807,0.7260284423828125,0.4956452250480652,0.14015863835811615
Face,Body_unrelated_equal4_zero,12345,292,0.21207504995294882,0.32000160896193397,0.6731834411621094,0.4291296899318695,0.29909825325012207
Face,Body_unrelated_equal4_zero,12345,295,-0.1721869207936138,0.4756927954586857,0.626197338104248,0.3665989339351654,-0.005848008207976818
Face,Body_unrelated_equal4_zero,12345,340,-0.06602162849402488,0.21630213181877944,0.6706172227859497,0.5377099514007568,0.3436974287033081
Face,Body_unrelated_equal4_zero,12345,375,0.058366989692967344,0.1198727021532106,0.6982148885726929,0.5257301926612854,0.02057240530848503
Face,Body_unrelated_equal4_zero,12345,384,0.1892126106077736,0.3269612854712053,0.7888467311859131,0.6701573133468628,0.3290373384952545
Face,Body_unrelated_equal4_zero,12345,415,-0.09997516153987307,0.5386617845755255,0.6527373790740967,0.6121116876602173,0.28214648365974426
Face,Body_unrelated_equal4_zero,12345,434,0.20444784892951753,0.27851771132164715,0.7044382095336914,0.5186874270439148,0.18198522925376892
Face,Body_unrelated_equal4_zero,12345,465,-0.12645925747883427,0.2385794357181845,0.6967451572418213,0.44269639253616333,0.2129901647567749
Face,Body_unrelated_equal4_zero,12345,498,0.03853912778806189,0.42365559729818675,0.721950113773346,0.7611952424049377,0.8418450951576233
Face,Body_unrelated_equal4_zero,12345,507,0.18980740587055442,0.4132082995984073,0.6596845984458923,0.4991532564163208,0.1667320430278778
Face,Body_unrelated_equal4_zero,12345,529,0.04010301390443597,0.4166888397655568,0.681172788143158,0.6257814764976501,0.27128782868385315
Face,Body_unrelated_equal4_zero,12345,561,0.12709098105492944,0.16177842664593026,0.6538100242614746,0.36847034096717834,0.12279164046049118
Face,Body_unrelated_equal4_zero,12345,588,0.11951876179421392,0.18576552974434443,0.7020984888076782,0.5318531394004822,0.0970631092786789
Face,Body_unrelated_equal4_zero,12345,606,-0.01636785559876686,0.2989698271227755,0.6744520664215088,0.45351487398147583,0.05648861452937126
