background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body_mean,target_roi,973,E3_interaction,0.0,0.10099411755800247,0.8862714171409607,Face,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,973,E3_interaction,0.0,0.10526968538761139,0.8712061047554016,Face,Body,,,,,,12345
,,mask_Body_pure_random_02_mean,pure_matched_random,973,E3_interaction,0.0,0.11461152136325836,0.8700255155563354,Face,Body,,,,,,12345
,,mask_Body_pure_random_03_mean,pure_matched_random,973,E3_interaction,0.0,0.20868048071861267,0.8681562542915344,Face,Body,,,,,,12345
,,mask_Body_pure_random_04_mean,pure_matched_random,973,E3_interaction,0.0,0.17421066761016846,0.850524365901947,Face,Body,,,,,,12345
,,mask_Body_pure_random_05_mean,pure_matched_random,973,E3_interaction,0.0,0.21805432438850403,0.867659866809845,Face,Body,,,,,,12345
,,mask_Face_mean,target_roi,973,E3_interaction,0.0,0.10863777995109558,0.8719189167022705,Face,Face,,,,,,12345
,,mask_Face_pure_random_01_mean,pure_matched_random,973,E3_interaction,0.0,0.1048692911863327,0.8744094371795654,Face,Face,,,,,,12345
,,mask_Face_pure_random_02_mean,pure_matched_random,973,E3_interaction,0.0,0.16107067465782166,0.8788959980010986,Face,Face,,,,,,12345
,,mask_Face_pure_random_03_mean,pure_matched_random,973,E3_interaction,0.0,0.21784551441669464,0.8241277933120728,Face,Face,,,,,,12345
,,mask_Face_pure_random_04_mean,pure_matched_random,973,E3_interaction,0.0,0.11765975505113602,0.8679068684577942,Face,Face,,,,,,12345
,,mask_Face_pure_random_05_mean,pure_matched_random,973,E3_interaction,0.0,0.21128851175308228,0.8249687552452087,Face,Face,,,,,,12345
,,mask_Scene_mean,target_roi,973,E3_interaction,0.0,0.20581410825252533,0.847011387348175,Face,Scene,,,,,,12345
,,mask_Scene_pure_random_01_mean,pure_matched_random,973,E3_interaction,0.0,0.10803217440843582,0.868327260017395,Face,Scene,,,,,,12345
,,mask_Scene_pure_random_02_mean,pure_matched_random,973,E3_interaction,0.0,0.10916344821453094,0.8648325204849243,Face,Scene,,,,,,12345
,,mask_Scene_pure_random_03_mean,pure_matched_random,973,E3_interaction,0.0,0.10674667358398438,0.871218204498291,Face,Scene,,,,,,12345
,,mask_Scene_pure_random_04_mean,pure_matched_random,973,E3_interaction,0.0,0.20743390917778015,0.8697317838668823,Face,Scene,,,,,,12345
,,mask_Scene_pure_random_05_mean,pure_matched_random,973,E3_interaction,0.0,0.11767410486936569,0.86900395154953,Face,Scene,,,,,,12345
,,no_mask,none,973,E3_interaction,0.0,0.107241690158844,0.8715379238128662,Face,none,,,,,,12345
,,no_mask_repeat,none,973,E3_interaction,0.0,0.107241690158844,0.8715379238128662,Face,none,,,,,,12345
,,mask_Body_mean,target_roi,816,E3_interaction,,,,Body,Body,0.2273780107498169,0.5769548416137695,coco_polygon,-0.04462699139216196,,12345
