dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
973,0.002053369907813865,Face,Body,pixel_corr,1
973,0.006315466214349985,Face,Body,ssim,1
973,-0.0011984348297119141,Face,Body,lpips,1
973,-0.025112009048461913,Face,Body,clip,1
973,-0.028775542974472046,Face,Body,dino,1
973,0.020756995677947997,Face,Body,face_lpips,1
973,0.06317121833562851,Face,Body,face_dino,1
973,0.0,Face,Body,face_detection_success,1
973,0.003895532208260548,Face,Face,pixel_corr,1
973,-0.0014065665398525161,Face,Face,ssim,1
973,0.003125715255737305,Face,Face,lpips,1
973,0.015868628025054933,Face,Face,clip,1
973,0.039195078611373904,Face,Face,dino,1
973,0.01785714626312256,Face,Face,face_lpips,1
973,0.05390896946191788,Face,Face,face_dino,1
973,0.0,Face,Face,face_detection_success,1
973,0.04521815313904292,Face,Scene,pixel_corr,1
973,0.012176548329508064,Face,Scene,ssim,1
973,-0.0012120962142944335,Face,Scene,lpips,1
973,-0.11373990774154663,Face,Scene,clip,1
973,0.045272606611251834,Face,Scene,dino,1
973,-0.021611356735229494,Face,Scene,face_lpips,1
973,-0.07600404620170594,Face,Scene,face_dino,1
973,0.0,Face,Scene,face_detection_success,1
816,-0.0018732542570322585,Body,Body,pixel_corr,1
816,-0.0059861631249411296,Body,Body,ssim,1
816,0.0024997234344482423,Body,Body,lpips,1
816,0.025723862648010253,Body,Body,clip,1
816,-0.009719231724739074,Body,Body,dino,1
816,0.0028147220611572264,Body,Body,person_lpips,1
816,-0.004248473048210144,Body,Body,person_dino,1
816,-0.004248473048210144,Body,Body,person_region_consistency,1
816,0.0018689991475995676,Body,Face,pixel_corr,1
816,-0.001079708759211906,Body,Face,ssim,1
816,-0.0017683267593383788,Body,Face,lpips,1
816,0.01309259533882141,Body,Face,clip,1
816,0.005392318964004517,Body,Face,dino,1
816,-0.004438483715057373,Body,Face,person_lpips,1
816,0.02300803065299988,Body,Face,person_dino,1
816,0.02300803065299988,Body,Face,person_region_consistency,1
816,-0.019897564701908975,Body,Scene,pixel_corr,1
816,-0.005493043326893316,Body,Scene,ssim,1
816,-0.008798348903656005,Body,Scene,lpips,1
816,0.06327040195465088,Body,Scene,clip,1
816,0.03229142129421234,Body,Scene,dino,1
816,-0.0040303230285644535,Body,Scene,person_lpips,1
816,0.04513363242149353,Body,Scene,person_dino,1
816,0.04513363242149353,Body,Scene,person_region_consistency,1
999,-0.023366610336725352,Scene,Body,pixel_corr,1
999,-0.03359684809507836,Scene,Body,ssim,1
999,0.02341594696044922,Scene,Body,lpips,1
999,0.07452188730239868,Scene,Body,clip,1
999,0.0230746291577816,Scene,Body,dino,1
999,0.0230746291577816,Scene,Body,background_dino,1
999,0.07452188730239868,Scene,Body,background_clip,1
999,0.0,Scene,Body,scene_class_consistency,1
999,0.014283045095761601,Scene,Face,pixel_corr,1
999,0.013534346102127903,Scene,Face,ssim,1
999,-0.004144561290740967,Scene,Face,lpips,1
999,-0.03174047470092774,Scene,Face,clip,1
999,-0.005288500525057315,Scene,Face,dino,1
999,-0.005288500525057315,Scene,Face,background_dino,1
999,-0.03174047470092774,Scene,Face,background_clip,1
999,0.0,Scene,Face,scene_class_consistency,1
999,-0.011801265596530493,Scene,Scene,pixel_corr,1
999,0.012483372872230735,Scene,Scene,ssim,1
999,-0.0069743037223815914,Scene,Scene,lpips,1
999,0.003347361087799072,Scene,Scene,clip,1
999,-0.021060975454747676,Scene,Scene,dino,1
999,-0.021060975454747676,Scene,Scene,background_dino,1
999,0.003347361087799072,Scene,Scene,background_clip,1
999,0.0,Scene,Scene,scene_class_consistency,1
