analysis_status,bh_q_e3a_local,ci95,image_category,masked_roi,metric,metric_family,num_images,sign_flip_p,target_minus_pure_random
formal,0.323967603239676,"[0.0005503817050306647, 0.008859147987924181]",Face,Face,face_lpips,local,37,0.035996400359964,0.004242923990026251
formal,0.9182763541827637,"[-0.010414086050177747, 0.0059704965476349335]",Face,Face,face_dino,local,37,0.6096390360963904,-0.002154914994497557
formal,0.9182763541827637,"[-0.05405405405405405, 0.08108108108108109]",Face,Face,face_detection_success,local,37,0.7079292070792921,0.012612612612612616
formal,0.9182763541827637,"[-0.003411882184110247, 0.008266218757038715]",Face,Body,face_lpips,local,37,0.4026597340265973,0.0026405330713804766
formal,0.9182763541827637,"[-0.018939205446691663, 0.011868408578573849]",Face,Body,face_dino,local,37,0.6049395060493951,-0.004179257513569282
formal,0.9182763541827637,"[-0.03423423423423424, 0.08288288288288288]",Face,Body,face_detection_success,local,37,0.46115388461153883,0.023423423423423424
formal,0.5745925407459255,"[-0.000823654570021071, 0.009491028259466362]",Face,Scene,face_lpips,local,37,0.12768723127687232,0.0040708288416132195
formal,0.5745925407459255,"[-0.017268123556020767, 0.0015357257559610238]",Face,Scene,face_dino,local,37,0.11488851114888511,-0.007873579034128702
formal,0.9182763541827637,"[-0.07207207207207209, 0.04504504504504504]",Face,Scene,face_detection_success,local,37,0.670932906709329,-0.012612612612612614
formal,0.9182763541827637,"[-0.0009857589557766917, 0.0006165006861090658]",Body,Face,person_lpips,local,50,0.665033496650335,-0.00017886586983998618
formal,0.9182763541827637,"[-0.007011742703903777, 0.00501621304876947]",Body,Face,person_dino,local,50,0.7373262673732627,-0.0010585610062504801
formal,0.8902359764023599,"[-0.008633323884778329, 0.001566565422602578]",Body,Face,person_region_consistency,local,50,0.26377362263773624,-0.0031338508801744248
formal,0.323967603239676,"[0.00031306241105000184, 0.0029199281424283985]",Body,Body,person_lpips,local,50,0.0230976902309769,0.0015792579849561055
formal,0.9182763541827637,"[-0.0049979609115359674, 0.009148682203330101]",Body,Body,person_dino,local,50,0.53994600539946,0.002211057639370361
formal,0.9446055394460555,"[-0.0036508709147438857, 0.003306068537309673]",Body,Body,person_region_consistency,local,50,0.9277072292770723,-0.00015940252057616697
formal,0.4177832216778322,"[-0.0037954770659406976, 9.157124310731842e-05]",Body,Scene,person_lpips,local,50,0.06189381061893811,-0.0019181957642237346
formal,0.9229702029797021,"[-0.012555321837371836, 0.010214152514189468]",Body,Scene,person_dino,local,50,0.8204179582041796,-0.0013520811181515447
formal,0.9446055394460555,"[-0.008685268465092814, 0.008321260455982396]",Body,Scene,person_region_consistency,local,50,0.9446055394460554,-0.0003114614220301737
formal,0.9229702029797021,"[-0.010310439635293246, 0.02029006880547385]",Scene,Face,background_dino,local,50,0.8155184481551845,0.002866643816543123
formal,0.9446055394460555,"[-0.006468840174873671, 0.008437812889615696]",Scene,Face,background_clip,local,50,0.8955104489551045,0.0005324573914210007
formal,0.9182763541827637,"[-0.008, 0.044000000000000004]",Scene,Face,scene_class_consistency,local,50,0.37696230376962303,0.014666666666666666
formal,0.323967603239676,"[0.0017034647906121496, 0.02530864809503158]",Scene,Body,background_dino,local,50,0.0314968503149685,0.013270357730798425
formal,0.8902359764023599,"[-0.002977138219277064, 0.0136112128039201]",Scene,Body,background_clip,local,50,0.24217578242175783,0.005076627294222513
formal,0.9182763541827637,"[-0.021333333333333333, 0.036000000000000004]",Scene,Body,scene_class_consistency,local,50,0.6428357164283571,0.008
formal,0.9182763541827637,"[-0.010936455160782982, 0.006403561087767592]",Scene,Scene,background_dino,local,50,0.6606339366063394,-0.0020514516100908317
formal,0.9182763541827637,"[-0.003764398464560509, 0.005205146487553913]",Scene,Scene,background_clip,local,50,0.7482251774822518,0.0007519255479176843
formal,0.9182763541827637,"[-0.013333333333333338, 0.032]",Scene,Scene,scene_class_consistency,local,50,0.47685231476852313,0.009333333333333334
