background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body_mean,target_roi,1,E3_interaction,0.0,0.2712196707725525,0.7722731232643127,Face,4356,Body,,,,,,12345
,,mask_Body_mean,target_roi,16,E3_interaction,1.0,0.30708202719688416,0.7632156014442444,Face,12544,Body,,,,,,12345
,,mask_Body_mean,target_roi,20,E3_interaction,0.0,0.5171023607254028,0.7445251941680908,Face,7396,Body,,,,,,12345
,,mask_Body_mean,target_roi,51,E3_interaction,0.0,0.021684177219867706,0.9038324952125549,Face,3364,Body,,,,,,12345
,,mask_Body_mean,target_roi,77,E3_interaction,0.0,0.20220182836055756,0.688007116317749,Face,8649,Body,,,,,,12345
,,mask_Body_mean,target_roi,135,E3_interaction,1.0,0.40769925713539124,0.6406917572021484,Face,14400,Body,,,,,,12345
,,mask_Body_mean,target_roi,158,E3_interaction,1.0,0.332236647605896,0.7051955461502075,Face,33856,Body,,,,,,12345
,,mask_Body_mean,target_roi,177,E3_interaction,1.0,0.3233751058578491,0.8888080716133118,Face,15376,Body,,,,,,12345
,,mask_Body_mean,target_roi,188,E3_interaction,0.0,0.2252248227596283,0.9635992050170898,Face,9409,Body,,,,,,12345
,,mask_Body_mean,target_roi,218,E3_interaction,1.0,0.23626986145973206,0.6822358965873718,Face,4489,Body,,,,,,12345
,,mask_Body_mean,target_roi,287,E3_interaction,0.0,0.12876009941101074,0.7936076521873474,Face,32761,Body,,,,,,12345
,,mask_Body_mean,target_roi,292,E3_interaction,1.0,0.3033815324306488,0.7579232454299927,Face,7569,Body,,,,,,12345
,,mask_Body_mean,target_roi,295,E3_interaction,1.0,0.018739331513643265,0.8752669095993042,Face,12100,Body,,,,,,12345
,,mask_Body_mean,target_roi,340,E3_interaction,1.0,0.38848310708999634,0.8189204335212708,Face,7569,Body,,,,,,12345
,,mask_Body_mean,target_roi,375,E3_interaction,1.0,0.09736036509275436,0.932720422744751,Face,4900,Body,,,,,,12345
,,mask_Body_mean,target_roi,384,E3_interaction,0.0,0.18256521224975586,0.8993173837661743,Face,8281,Body,,,,,,12345
,,mask_Body_mean,target_roi,415,E3_interaction,0.0,0.2170039862394333,0.701336681842804,Face,30625,Body,,,,,,12345
,,mask_Body_mean,target_roi,434,E3_interaction,0.0,0.6221869587898254,0.9319924116134644,Face,14161,Body,,,,,,12345
,,mask_Body_mean,target_roi,465,E3_interaction,1.0,0.29722604155540466,0.797946572303772,Face,24649,Body,,,,,,12345
,,mask_Body_mean,target_roi,498,E3_interaction,0.0,0.42439231276512146,0.7655779123306274,Face,9604,Body,,,,,,12345
,,mask_Body_mean,target_roi,507,E3_interaction,0.0,0.2930646538734436,0.6750640869140625,Face,13689,Body,,,,,,12345
,,mask_Body_mean,target_roi,529,E3_interaction,1.0,0.32511720061302185,0.65460205078125,Face,17161,Body,,,,,,12345
,,mask_Body_mean,target_roi,561,E3_interaction,1.0,0.25219517946243286,0.7194209098815918,Face,8464,Body,,,,,,12345
,,mask_Body_mean,target_roi,588,E3_interaction,0.0,0.22899706661701202,0.8223669528961182,Face,4225,Body,,,,,,12345
,,mask_Body_mean,target_roi,606,E3_interaction,1.0,0.16851405799388885,0.6632781028747559,Face,10000,Body,,,,,,12345
,,mask_Body_mean,target_roi,678,E3_interaction,1.0,0.4319010376930237,0.5571392178535461,Face,17956,Body,,,,,,12345
,,mask_Body_mean,target_roi,708,E3_interaction,0.0,0.10475166141986847,0.7490874528884888,Face,8100,Body,,,,,,12345
,,mask_Body_mean,target_roi,756,E3_interaction,0.0,0.4354632496833801,0.8142029643058777,Face,42025,Body,,,,,,12345
,,mask_Body_mean,target_roi,762,E3_interaction,0.0,0.26114943623542786,0.8238120675086975,Face,3249,Body,,,,,,12345
,,mask_Body_mean,target_roi,781,E3_interaction,0.0,0.028447981923818588,0.7189180254936218,Face,16641,Body,,,,,,12345
,,mask_Body_mean,target_roi,789,E3_interaction,0.0,0.2777720093727112,0.6712976694107056,Face,17424,Body,,,,,,12345
,,mask_Body_mean,target_roi,817,E3_interaction,0.0,0.30869561433792114,1.0211678743362427,Face,3025,Body,,,,,,12345
,,mask_Body_mean,target_roi,820,E3_interaction,0.0,0.38037776947021484,0.6001355648040771,Face,7569,Body,,,,,,12345
,,mask_Body_mean,target_roi,838,E3_interaction,0.0,0.15785983204841614,0.7272437810897827,Face,11236,Body,,,,,,12345
,,mask_Body_mean,target_roi,877,E3_interaction,1.0,0.10251383483409882,0.8983436226844788,Face,3481,Body,,,,,,12345
,,mask_Body_mean,target_roi,887,E3_interaction,1.0,0.46095192432403564,0.6113247871398926,Face,8100,Body,,,,,,12345
,,mask_Body_mean,target_roi,973,E3_interaction,0.0,0.2534201443195343,0.8380942940711975,Face,52900,Body,,,,,,12345
