dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
1,0.002228442799661967,Face,Body,pixel_corr,3
16,0.00015022830371666922,Face,Body,pixel_corr,3
20,0.0004757218443093066,Face,Body,pixel_corr,3
51,-0.00836234813794056,Face,Body,pixel_corr,3
77,0.0037163751295642886,Face,Body,pixel_corr,3
135,-0.011396749006748362,Face,Body,pixel_corr,3
158,0.008045857981059645,Face,Body,pixel_corr,3
177,0.050615731283034815,Face,Body,pixel_corr,3
188,0.014284558679050213,Face,Body,pixel_corr,3
218,0.005393737474463666,Face,Body,pixel_corr,3
287,-0.034648207744749714,Face,Body,pixel_corr,3
292,0.001369882853145956,Face,Body,pixel_corr,3
295,0.02007249117630637,Face,Body,pixel_corr,3
340,0.0016631032763356392,Face,Body,pixel_corr,3
375,-0.00040396796890098335,Face,Body,pixel_corr,3
384,0.0039896655765978605,Face,Body,pixel_corr,3
415,-0.01378627882452956,Face,Body,pixel_corr,3
434,-0.007265012329233734,Face,Body,pixel_corr,3
465,-0.010689053223271747,Face,Body,pixel_corr,3
498,0.0006491755411918163,Face,Body,pixel_corr,3
507,-0.00237982501342233,Face,Body,pixel_corr,3
529,-0.008304078134938964,Face,Body,pixel_corr,3
561,-0.011458033079585523,Face,Body,pixel_corr,3
588,-0.009289421354458616,Face,Body,pixel_corr,3
606,0.0004871141527407538,Face,Body,pixel_corr,3
678,-0.01393227662159103,Face,Body,pixel_corr,3
708,0.013710543186176476,Face,Body,pixel_corr,3
756,-0.03370284712435042,Face,Body,pixel_corr,3
762,0.0010240202892774263,Face,Body,pixel_corr,3
781,0.010236399381056456,Face,Body,pixel_corr,3
789,0.002686871277935989,Face,Body,pixel_corr,3
817,-0.006605164224424138,Face,Body,pixel_corr,3
820,0.01016823716057817,Face,Body,pixel_corr,3
838,0.004819192279749966,Face,Body,pixel_corr,3
877,-0.0008431162234668379,Face,Body,pixel_corr,3
887,-0.013184641189710354,Face,Body,pixel_corr,3
973,-0.013952509055665203,Face,Body,pixel_corr,3
1,-0.0009465493507228783,Face,Body,ssim,3
16,-0.005879835271693837,Face,Body,ssim,3
20,0.00025681244151323025,Face,Body,ssim,3
51,-0.002612817692220444,Face,Body,ssim,3
77,-0.0009009034040203183,Face,Body,ssim,3
135,-0.010716212896136251,Face,Body,ssim,3
158,0.001277215566392381,Face,Body,ssim,3
177,-0.0009379851008769514,Face,Body,ssim,3
188,-0.0033894093940550125,Face,Body,ssim,3
218,-0.0007375457382694277,Face,Body,ssim,3
287,-0.015908126908849306,Face,Body,ssim,3
292,0.02355257510698972,Face,Body,ssim,3
295,-0.010155958655038362,Face,Body,ssim,3
340,-0.0014934153957713286,Face,Body,ssim,3
375,-0.0001795131831296361,Face,Body,ssim,3
384,-0.00441740517958149,Face,Body,ssim,3
415,0.014363451486709188,Face,Body,ssim,3
434,0.0005344599710434865,Face,Body,ssim,3
465,0.0032526476409574863,Face,Body,ssim,3
498,0.003299236957025775,Face,Body,ssim,3
507,-0.0016147141222905427,Face,Body,ssim,3
