background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body_mean,target_roi,158,E3_interaction,1.0,0.332236647605896,0.7051955461502075,Face,33856,Body,,,,,,12345
,,mask_Body_mean,target_roi,287,E3_interaction,0.0,0.12876009941101074,0.7936076521873474,Face,32761,Body,,,,,,12345
,,mask_Body_mean,target_roi,415,E3_interaction,0.0,0.2170039862394333,0.701336681842804,Face,30625,Body,,,,,,12345
,,mask_Body_mean,target_roi,465,E3_interaction,1.0,0.29722604155540466,0.797946572303772,Face,24649,Body,,,,,,12345
,,mask_Body_mean,target_roi,529,E3_interaction,1.0,0.32511720061302185,0.65460205078125,Face,17161,Body,,,,,,12345
,,mask_Body_mean,target_roi,678,E3_interaction,1.0,0.4319010376930237,0.5571392178535461,Face,17956,Body,,,,,,12345
,,mask_Body_mean,target_roi,756,E3_interaction,0.0,0.4354632496833801,0.8142030239105225,Face,42025,Body,,,,,,12345
,,mask_Body_mean,target_roi,781,E3_interaction,0.0,0.028447981923818588,0.7189180254936218,Face,16641,Body,,,,,,12345
,,mask_Body_mean,target_roi,789,E3_interaction,0.0,0.2777720093727112,0.6712976694107056,Face,17424,Body,,,,,,12345
,,mask_Body_mean,target_roi,973,E3_interaction,0.0,0.2534201443195343,0.8380942344665527,Face,52900,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,158,E3_interaction,1.0,0.10014697164297104,0.7226752042770386,Face,33856,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,287,E3_interaction,1.0,0.12262250483036041,0.8291040658950806,Face,32761,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,415,E3_interaction,0.0,0.22163410484790802,0.7018023133277893,Face,30625,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,465,E3_interaction,1.0,0.2671906352043152,0.7994606494903564,Face,24649,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,529,E3_interaction,1.0,0.2812475860118866,0.656680166721344,Face,17161,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,678,E3_interaction,1.0,0.43574386835098267,0.5609513521194458,Face,17956,Body,,,,,,12345
,,mask_Body_pure_random_01_mean,pure_matched_random,756,E3_interaction,0.0,0.3653169274330139,0.8000480532646179,Face,42025,Body,,,,,,12345
