dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
158,0.0010292215128916982,Face,Body,pixel_corr,1
287,-0.016487045930345126,Face,Body,pixel_corr,1
415,0.00480674663267191,Face,Body,pixel_corr,1
465,-0.012157415669749497,Face,Body,pixel_corr,1
529,-0.00808760357439442,Face,Body,pixel_corr,1
678,-0.03946312348423121,Face,Body,pixel_corr,1
756,-0.0039385038871599335,Face,Body,pixel_corr,1
781,-0.010789671130205927,Face,Body,pixel_corr,1
789,0.0017635591295227294,Face,Body,pixel_corr,1
973,0.002053369907813865,Face,Body,pixel_corr,1
158,0.00312451730352214,Face,Body,ssim,1
287,-0.020629944804444224,Face,Body,ssim,1
415,-0.002856991918151741,Face,Body,ssim,1
465,0.0007759098225313676,Face,Body,ssim,1
529,0.000997704478545669,Face,Body,ssim,1
678,-0.005774600608612101,Face,Body,ssim,1
756,0.01792391218260052,Face,Body,ssim,1
781,-0.007625091460023148,Face,Body,ssim,1
789,0.0017066954679605061,Face,Body,ssim,1
973,0.006315466214349985,Face,Body,ssim,1
158,-0.008608055114746094,Face,Body,lpips,1
287,0.019059598445892334,Face,Body,lpips,1
415,0.004894745349884033,Face,Body,lpips,1
465,-0.00441436767578125,Face,Body,lpips,1
529,-0.003347921371459961,Face,Body,lpips,1
678,7.933378219604492e-05,Face,Body,lpips,1
756,-0.018003833293914796,Face,Body,lpips,1
781,0.005822038650512696,Face,Body,lpips,1
789,0.005926764011383057,Face,Body,lpips,1
973,-0.001198410987854004,Face,Body,lpips,1
158,-0.026359397172927856,Face,Body,clip,1
287,0.029719614982604982,Face,Body,clip,1
415,-0.004642951488494872,Face,Body,clip,1
465,-0.02126244306564331,Face,Body,clip,1
529,-0.028478586673736574,Face,Body,clip,1
678,0.02358144521713257,Face,Body,clip,1
756,0.01879463195800781,Face,Body,clip,1
781,-0.0023987889289855957,Face,Body,clip,1
789,-0.005681443214416503,Face,Body,clip,1
973,-0.025112009048461913,Face,Body,clip,1
158,-0.07555200308561325,Face,Body,dino,1
287,0.04682498425245285,Face,Body,dino,1
415,0.018049758672714234,Face,Body,dino,1
465,-0.008592423796653748,Face,Body,dino,1
529,-0.0010546982288360592,Face,Body,dino,1
678,0.058671423792839045,Face,Body,dino,1
756,-0.045268851518630984,Face,Body,dino,1
781,0.08574603199958801,Face,Body,dino,1
789,0.005616402626037598,Face,Body,dino,1
973,-0.028775542974472046,Face,Body,dino,1
158,-0.019101572036743165,Face,Body,face_lpips,1
287,-0.0350002646446228,Face,Body,face_lpips,1
415,-0.0013295531272888184,Face,Body,face_lpips,1
465,0.0032016515731811525,Face,Body,face_lpips,1
529,-0.005607128143310547,Face,Body,face_lpips,1
678,-0.011946237087249756,Face,Body,face_lpips,1
756,0.01629374027252197,Face,Body,face_lpips,1
781,0.003988742828369141,Face,Body,face_lpips,1
789,0.0022275209426879886,Face,Body,face_lpips,1
973,0.0007646679878234863,Face,Body,face_lpips,1
158,-0.1991504818201065,Face,Body,face_dino,1
287,-0.011032074689865112,Face,Body,face_dino,1
415,0.02600730359554291,Face,Body,face_dino,1
465,-0.023989367485046386,Face,Body,face_dino,1
529,-0.03320435881614685,Face,Body,face_dino,1
678,0.05921743512153625,Face,Body,face_dino,1
756,-0.029305022954940793,Face,Body,face_dino,1
781,0.06638085693120957,Face,Body,face_dino,1
789,0.004079407453536988,Face,Body,face_dino,1
973,-0.061977618932724,Face,Body,face_dino,1
158,0.0,Face,Body,face_detection_success,1
287,0.2,Face,Body,face_detection_success,1
415,0.0,Face,Body,face_detection_success,1
465,0.0,Face,Body,face_detection_success,1
529,-0.4,Face,Body,face_detection_success,1
678,0.0,Face,Body,face_detection_success,1
756,0.0,Face,Body,face_detection_success,1
781,0.6,Face,Body,face_detection_success,1
789,0.0,Face,Body,face_detection_success,1
