background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_mean,target_roi,973,E3_joint_redundancy,0.0,0.18551376461982727,0.8839433193206787,Face,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.10575367510318756,0.8776863813400269,Face,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.10262516885995865,0.8698232173919678,Face,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.16779309511184692,0.8616999983787537,Face,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_04_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.10501940548419952,0.8700679540634155,Face,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_05_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.20763805508613586,0.8690510988235474,Face,Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,973,E3_joint_redundancy,0.0,0.15684816241264343,0.8883346319198608,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.1314220279455185,0.8685400485992432,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.1918468475341797,0.8529187440872192,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.1200055181980133,0.8655015230178833,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.12608502805233002,0.8683775663375854,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.14844079315662384,0.8481824994087219,Face,Face+Body+Scene,,,,,,12345
,,mask_Face+Body_mean,target_roi,973,E3_joint_redundancy,0.0,0.09268496185541153,0.8858209848403931,Face,Face+Body,,,,,,12345
,,mask_Face+Body_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.10545062273740768,0.8718053102493286,Face,Face+Body,,,,,,12345
,,mask_Face+Body_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.22930480539798737,0.864794909954071,Face,Face+Body,,,,,,12345
,,mask_Face+Body_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.1561529040336609,0.8834943771362305,Face,Face+Body,,,,,,12345
,,mask_Face+Body_pure_random_04_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.10808493942022324,0.870963454246521,Face,Face+Body,,,,,,12345
