dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
973,0.053426472099031896,Face,Body+Scene,pixel_corr,1
973,-0.010441330290467376,Face,Body+Scene,ssim,1
973,0.013853275775909423,Face,Body+Scene,lpips,1
973,-0.07906654477119446,Face,Body+Scene,clip,1
973,0.06650797128677369,Face,Body+Scene,dino,1
973,0.014277589321136475,Face,Body+Scene,face_lpips,1
973,-0.04774788469076156,Face,Body+Scene,face_dino,1
973,0.0,Face,Body+Scene,face_detection_success,1
973,0.0624413161947042,Face,Face+Body+Scene,pixel_corr,1
973,-0.007583394245975705,Face,Face+Body+Scene,ssim,1
973,0.01993614435195923,Face,Face+Body+Scene,lpips,1
973,-0.03737480640411377,Face,Face+Body+Scene,clip,1
973,0.06765380203723907,Face,Face+Body+Scene,dino,1
973,0.027630555629730224,Face,Face+Body+Scene,face_lpips,1
973,-0.013288119435310365,Face,Face+Body+Scene,face_dino,1
973,0.0,Face,Face+Body+Scene,face_detection_success,1
973,0.010587658878508408,Face,Face+Body,pixel_corr,1
973,0.00748033980563092,Face,Face+Body,ssim,1
973,-0.004939031600952148,Face,Face+Body,lpips,1
973,0.012680566310882569,Face,Face+Body,clip,1
973,0.0041225522756576545,Face,Face+Body,dino,1
973,0.013458490371704102,Face,Face+Body,face_lpips,1
973,0.04948507398366928,Face,Face+Body,face_dino,1
973,0.0,Face,Face+Body,face_detection_success,1
973,0.04617665812797322,Face,Face+Scene,pixel_corr,1
973,0.009638761279641717,Face,Face+Scene,ssim,1
973,0.003919005393981934,Face,Face+Scene,lpips,1
973,0.036181652545928956,Face,Face+Scene,clip,1
973,0.05293879508972168,Face,Face+Scene,dino,1
973,0.006064713001251221,Face,Face+Scene,face_lpips,1
973,0.006611689925193787,Face,Face+Scene,face_dino,1
973,0.0,Face,Face+Scene,face_detection_success,1
973,-0.004124944852181764,Face,Face,pixel_corr,1
973,0.0016063695467123497,Face,Face,ssim,1
973,0.0011976122856140136,Face,Face,lpips,1
973,0.008815038204193115,Face,Face,clip,1
973,0.012450307607650757,Face,Face,dino,1
973,0.009943652153015136,Face,Face,face_lpips,1
973,0.030589275062084198,Face,Face,face_dino,1
973,0.0,Face,Face,face_detection_success,1
816,0.00452131544724188,Body,Body+Scene,pixel_corr,1
816,-0.004095802999243203,Body,Body+Scene,ssim,1
816,0.0027300834655761717,Body,Body+Scene,lpips,1
816,-0.03502325415611267,Body,Body+Scene,clip,1
816,0.02864201068878174,Body,Body+Scene,dino,1
816,-0.003505384922027588,Body,Body+Scene,person_lpips,1
816,0.044010454416275026,Body,Body+Scene,person_dino,1
