background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_mean,target_roi,1,E3_joint_redundancy,0.0,0.2747665047645569,0.7581090331077576,Face,4356,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,16,E3_joint_redundancy,1.0,0.23626115918159485,0.756741464138031,Face,12544,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,20,E3_joint_redundancy,0.0,0.454363077878952,0.7646390199661255,Face,7396,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,51,E3_joint_redundancy,0.0,0.055636122822761536,0.8992204070091248,Face,3364,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,77,E3_joint_redundancy,1.0,0.1734195053577423,0.7032222747802734,Face,8649,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,135,E3_joint_redundancy,1.0,0.4484917223453522,0.6875615119934082,Face,14400,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,158,E3_joint_redundancy,1.0,0.13715626299381256,0.6924606561660767,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,177,E3_joint_redundancy,1.0,0.25896787643432617,0.896126925945282,Face,15376,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,188,E3_joint_redundancy,0.0,0.2080172598361969,0.9648402333259583,Face,9409,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,218,E3_joint_redundancy,1.0,0.2815615236759186,0.6740710735321045,Face,4489,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,287,E3_joint_redundancy,0.0,0.03144918382167816,0.8120236396789551,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,292,E3_joint_redundancy,1.0,0.35849258303642273,0.7911538481712341,Face,7569,Body+Scene,,,,,,12345
