analysis_status,bh_q_e3b_monotonicity,ci95,double_masks_averaged,image_category,mean_excess_k12,mean_excess_k4,mean_excess_k8,mean_slope_per_level,metric,metric_family,monotonic_non_decreasing_fraction,num_images,sign_flip_p,single_mask,triple_mask
formal,0.1922307769223078,"[-0.0073973545534604754, -9.193802743143549e-05]",Face+Body;Face+Scene,Face,-0.003584080547355427,0.003424229095763537,-0.002596259021123682,-0.003504154821559483,pixel_corr,global,0.21621621621621623,37,0.07689231076892311,Face,Face+Body+Scene
formal,0.041995800419958006,"[-0.005086071964528341, -0.0011234260925376634]",Face+Body;Face+Scene,Face,-0.005145529258612616,0.0008676594990036548,-0.0015963924576996528,-0.003006594378808136,ssim,global,0.08108108108108109,37,0.0027997200279972004,Face,Face+Body+Scene
formal,0.27254417415401316,"[-0.00029259004974150455, 0.002985153543251054]",Face+Body;Face+Scene,Face,0.0023250693673486102,-0.00030643768138713677,0.00020336884636062752,0.0013157535243678736,lpips,global,0.24324324324324326,37,0.12718728127187282,Face,Face+Body+Scene
formal,0.9879012098790121,"[-0.004634645132196917, 0.004997252390996832]",Face+Body;Face+Scene,Face,0.0013077790404225254,0.001232019764883024,-0.004402469528150988,3.787963776975105e-05,clip,global,0.16216216216216217,37,0.9879012098790121,Face,Face+Body+Scene
formal,0.9879012098790121,"[-0.008544790910972235, 0.008398992061805867]",Face+Body;Face+Scene,Face,-0.0017861587196789878,-0.0020623876377604566,-0.005611573074533194,0.00013811445904073438,dino,global,0.32432432432432434,37,0.9766023397660234,Face,Face+Body+Scene
formal,0.12733726627337266,"[-0.00017378436418267153, 0.00688382015034959]",Face+Body;Face+Scene,Face,0.010547065949654794,0.004007797090856878,0.004671257734298705,0.0032696344293989574,face_lpips,local,0.32432432432432434,37,0.08489151084891511,Face,Face+Body+Scene
formal,0.9779022097790221,"[-0.005886510255901765, 0.00564290076047434]",Face+Body;Face+Scene,Face,-0.0034849012966964165,-0.0033255631397771934,-0.006722234230203269,-7.966907845961031e-05,face_dino,local,0.1891891891891892,37,0.9779022097790221,Face,Face+Body+Scene
formal,0.12733726627337266,"[-0.08648648648648649, 0.0018018018018018018]",Face+Body;Face+Scene,Face,-0.05045045045045045,0.032432432432432434,-0.004504504504504506,-0.04144144144144145,face_detection_success,local,0.21621621621621623,37,0.07549245075492451,Face,Face+Body+Scene
formal,0.6485351464853515,"[-0.002283287438166114, 0.006445795210655387]",Body+Scene;Face+Body,Body,0.008552262922358597,0.004890035778253304,0.005259292086128936,0.0018311135720526462,pixel_corr,global,0.22,50,0.4323567643235676,Body,Face+Body+Scene
formal,0.9879012098790121,"[-0.0016742289214551219, 0.0016106872090125596]",Body+Scene;Face+Body,Body,0.0004926457827004455,0.0006257816710908494,0.0012733542109840186,-6.656794419520211e-05,ssim,global,0.34,50,0.9385061493850615,Body,Face+Body+Scene
formal,0.6485351464853515,"[-0.002760899290442467, 0.0010176819771528236]",Body+Scene;Face+Body,Body,-0.00010338823000589987,0.001502851963043213,-9.738059838612901e-05,-0.000803120096524557,lpips,global,0.26,50,0.40815918408159185,Body,Face+Body+Scene
formal,0.1922307769223078,"[-0.00012909439926346068, 0.009305120670298737]",Body+Scene;Face+Body,Body,0.0011413185199101769,-0.007836557368437448,-0.003412843078374863,0.004488937944173816,clip,global,0.24,50,0.0638936106389361,Body,Face+Body+Scene
formal,0.1922307769223078,"[0.0005747033458358308, 0.01444909580941312]",Body+Scene;Face+Body,Body,0.013279388578608633,-0.0011895788684487343,0.0013000051134731611,0.007234483723528683,dino,global,0.34,50,0.0463953604639536,Body,Face+Body+Scene
formal,0.12148785121487851,"[-0.0017247450113296514, -0.00020996602202455266]",Body+Scene;Face+Body,Body,-0.0002627280751864114,0.0016656464934349058,0.00020485217372576408,-0.000964187284310659,person_lpips,local,0.18,50,0.013498650134986502,Body,Face+Body+Scene
