dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
1,-0.005217211384577381,Face,Body+Scene,pixel_corr,3
16,-0.003844328941621038,Face,Body+Scene,pixel_corr,3
20,-0.02488689721015074,Face,Body+Scene,pixel_corr,3
51,0.013408811897985325,Face,Body+Scene,pixel_corr,3
77,0.005828751010523583,Face,Body+Scene,pixel_corr,3
135,-0.06502357317317127,Face,Body+Scene,pixel_corr,3
158,0.010761685995771176,Face,Body+Scene,pixel_corr,3
177,-0.052873238521850184,Face,Body+Scene,pixel_corr,3
188,-0.017177722577380535,Face,Body+Scene,pixel_corr,3
218,-0.0014357255116229,Face,Body+Scene,pixel_corr,3
287,-0.026376800083730043,Face,Body+Scene,pixel_corr,3
292,-0.002824441045739578,Face,Body+Scene,pixel_corr,3
295,0.0023279330654394498,Face,Body+Scene,pixel_corr,3
340,0.002863055673465141,Face,Body+Scene,pixel_corr,3
375,-0.012180289727909249,Face,Body+Scene,pixel_corr,3
384,0.019944158008553595,Face,Body+Scene,pixel_corr,3
415,-0.07067874943569143,Face,Body+Scene,pixel_corr,3
434,-0.0016910368816405827,Face,Body+Scene,pixel_corr,3
465,0.0367182106866956,Face,Body+Scene,pixel_corr,3
498,0.010287498884640589,Face,Body+Scene,pixel_corr,3
507,-0.010645400514039042,Face,Body+Scene,pixel_corr,3
529,0.0030501355422442073,Face,Body+Scene,pixel_corr,3
561,-0.012206427610287153,Face,Body+Scene,pixel_corr,3
588,0.02949871793216843,Face,Body+Scene,pixel_corr,3
606,-0.007459797404670824,Face,Body+Scene,pixel_corr,3
678,0.03443766207154608,Face,Body+Scene,pixel_corr,3
708,0.012964668335195842,Face,Body+Scene,pixel_corr,3
756,-0.005793995442799995,Face,Body+Scene,pixel_corr,3
762,-0.002542300740511008,Face,Body+Scene,pixel_corr,3
781,0.012706532554527125,Face,Body+Scene,pixel_corr,3
789,0.004681613400936281,Face,Body+Scene,pixel_corr,3
817,-0.001131498363139025,Face,Body+Scene,pixel_corr,3
820,0.010793571206420985,Face,Body+Scene,pixel_corr,3
838,0.012386799196076026,Face,Body+Scene,pixel_corr,3
877,-0.008325996377653846,Face,Body+Scene,pixel_corr,3
887,-0.012226936631044653,Face,Body+Scene,pixel_corr,3
973,-0.0033517961803666125,Face,Body+Scene,pixel_corr,3
1,-0.0035679075844577413,Face,Body+Scene,ssim,3
16,-0.005016856885741747,Face,Body+Scene,ssim,3
20,-0.019439696182013314,Face,Body+Scene,ssim,3
51,0.001558148040532196,Face,Body+Scene,ssim,3
77,-0.002679099493856633,Face,Body+Scene,ssim,3
135,0.004008674700473371,Face,Body+Scene,ssim,3
158,0.007239826748346528,Face,Body+Scene,ssim,3
177,-0.001639823369222411,Face,Body+Scene,ssim,3
188,-0.011817190563945916,Face,Body+Scene,ssim,3
218,-0.0016117788107547588,Face,Body+Scene,ssim,3
287,-0.012635891130560425,Face,Body+Scene,ssim,3
292,-0.0023070611143442073,Face,Body+Scene,ssim,3
295,0.005685430106092549,Face,Body+Scene,ssim,3
340,-0.0026410265863213915,Face,Body+Scene,ssim,3
375,-0.0009627535424174596,Face,Body+Scene,ssim,3
384,-0.00023608203134208115,Face,Body+Scene,ssim,3
415,-0.010801627171628405,Face,Body+Scene,ssim,3
434,-0.00019787470232254974,Face,Body+Scene,ssim,3
