analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,num_images,sign_flip_p,target_minus_pure_random
engineering_pilot,,,Body,Body,clip,10,,-0.015125342607498172
engineering_pilot,,,Body,Body,dino,10,,0.008390473723411559
engineering_pilot,,,Body,Body,lpips,10,,0.0019671905040740964
engineering_pilot,,,Body,Body,person_dino,10,,-0.003056214898824692
engineering_pilot,,,Body,Body,person_lpips,10,,-0.00014340400695800793
engineering_pilot,,,Body,Body,person_region_consistency,10,,0.003641406703322007
engineering_pilot,,,Body,Body,pixel_corr,10,,0.01089114200662122
engineering_pilot,,,Body,Body,ssim,10,,-0.003033086118662849
engineering_pilot,,,Body,Body+Scene,clip,10,,0.01108065366744995
engineering_pilot,,,Body,Body+Scene,dino,10,,0.03500549069605768
engineering_pilot,,,Body,Body+Scene,lpips,10,,0.008273423910140989
engineering_pilot,,,Body,Body+Scene,person_dino,10,,0.029115624129772182
engineering_pilot,,,Body,Body+Scene,person_lpips,10,,-0.0006700906157493591
engineering_pilot,,,Body,Body+Scene,person_region_consistency,10,,0.00720017023863076
engineering_pilot,,,Body,Body+Scene,pixel_corr,10,,0.016627592959878354
engineering_pilot,,,Body,Body+Scene,ssim,10,,0.0014969773367385492
engineering_pilot,,,Body,Face+Body,clip,10,,0.002973963022232056
engineering_pilot,,,Body,Face+Body,dino,10,,0.01224464798346162
engineering_pilot,,,Body,Face+Body,lpips,10,,-0.0025735020637512205
engineering_pilot,,,Body,Face+Body,person_dino,10,,0.013626199960708619
engineering_pilot,,,Body,Face+Body,person_lpips,10,,0.002652858793735504
engineering_pilot,,,Body,Face+Body,person_region_consistency,10,,0.001717910133942097
engineering_pilot,,,Body,Face+Body,pixel_corr,10,,0.010112758469654178
engineering_pilot,,,Body,Face+Body,ssim,10,,-0.007932337216847659
engineering_pilot,,,Body,Face+Body+Scene,clip,10,,-0.007625819444656373
engineering_pilot,,,Body,Face+Body+Scene,dino,10,,0.03145430461503565
engineering_pilot,,,Body,Face+Body+Scene,lpips,10,,0.005016171932220459
engineering_pilot,,,Body,Face+Body+Scene,person_dino,10,,0.009804256111383438
engineering_pilot,,,Body,Face+Body+Scene,person_lpips,10,,0.0007750129699707028
engineering_pilot,,,Body,Face+Body+Scene,person_region_consistency,10,,-0.0025148023924591416
engineering_pilot,,,Body,Face+Body+Scene,pixel_corr,10,,0.013376997049966205
engineering_pilot,,,Body,Face+Body+Scene,ssim,10,,-0.004111200405986634
engineering_pilot,,,Body,Face+Scene,clip,10,,0.018761953711509707
engineering_pilot,,,Body,Face+Scene,dino,10,,0.02881145232822746
engineering_pilot,,,Body,Face+Scene,lpips,10,,0.00492745280265808
engineering_pilot,,,Body,Face+Scene,person_dino,10,,0.04098893225193024
engineering_pilot,,,Body,Face+Scene,person_lpips,10,,0.0023513320088386536
engineering_pilot,,,Body,Face+Scene,person_region_consistency,10,,-0.0029013379443620564
engineering_pilot,,,Body,Face+Scene,pixel_corr,10,,0.010728095064791828
engineering_pilot,,,Body,Face+Scene,ssim,10,,0.0014799868697863384
engineering_pilot,,,Face,Body+Scene,clip,10,,-0.0027990078926086424
engineering_pilot,,,Face,Body+Scene,dino,10,,0.005856449902057646
engineering_pilot,,,Face,Body+Scene,face_detection_success,10,,0.08
engineering_pilot,,,Face,Body+Scene,face_dino,10,,-0.009399932995438575
engineering_pilot,,,Face,Body+Scene,face_lpips,10,,0.003975551128387449
engineering_pilot,,,Face,Body+Scene,lpips,10,,0.0074686813354492175
engineering_pilot,,,Face,Body+Scene,pixel_corr,10,,0.02393718639090327
engineering_pilot,,,Face,Body+Scene,ssim,10,,-0.009039471529705493
engineering_pilot,,,Face,Face,clip,10,,0.010795314311981202
engineering_pilot,,,Face,Face,dino,10,,0.002186620384454726
engineering_pilot,,,Face,Face,face_detection_success,10,,0.08
engineering_pilot,,,Face,Face,face_dino,10,,0.007624355461448432
engineering_pilot,,,Face,Face,face_lpips,10,,9.430646896362323e-05
engineering_pilot,,,Face,Face,lpips,10,,0.001527981758117676
engineering_pilot,,,Face,Face,pixel_corr,10,,0.0030722998242773756
engineering_pilot,,,Face,Face,ssim,10,,0.002461781333439612
engineering_pilot,,,Face,Face+Body,clip,10,,-0.010384595990180968
engineering_pilot,,,Face,Face+Body,dino,10,,-0.004418821930885312
engineering_pilot,,,Face,Face+Body,face_detection_success,10,,0.039999999999999994
engineering_pilot,,,Face,Face+Body,face_dino,10,,-0.014148103985935448
engineering_pilot,,,Face,Face+Body,face_lpips,10,,-0.005134501457214356
engineering_pilot,,,Face,Face+Body,lpips,10,,0.0016816401481628417
engineering_pilot,,,Face,Face+Body,pixel_corr,10,,-0.0019950473593386684
engineering_pilot,,,Face,Face+Body,ssim,10,,-0.0015158610348674636
engineering_pilot,,,Face,Face+Body+Scene,clip,10,,0.015614812374114995
engineering_pilot,,,Face,Face+Body+Scene,dino,10,,-0.012618344277143478
engineering_pilot,,,Face,Face+Body+Scene,face_detection_success,10,,0.020000000000000007
engineering_pilot,,,Face,Face+Body+Scene,face_dino,10,,-0.015097521357238288
engineering_pilot,,,Face,Face+Body+Scene,face_lpips,10,,-0.0004817354679107655
engineering_pilot,,,Face,Face+Body+Scene,lpips,10,,0.010121941566467285
engineering_pilot,,,Face,Face+Body+Scene,pixel_corr,10,,0.026615139813367366
engineering_pilot,,,Face,Face+Body+Scene,ssim,10,,-0.0042109568525131235
engineering_pilot,,,Face,Face+Scene,clip,10,,0.0032383531332015993
engineering_pilot,,,Face,Face+Scene,dino,10,,-0.019460482448339457
engineering_pilot,,,Face,Face+Scene,face_detection_success,10,,0.27999999999999997
engineering_pilot,,,Face,Face+Scene,face_dino,10,,-0.03858964577317238
engineering_pilot,,,Face,Face+Scene,face_lpips,10,,0.020171782970428466
engineering_pilot,,,Face,Face+Scene,lpips,10,,0.012533750534057617
engineering_pilot,,,Face,Face+Scene,pixel_corr,10,,0.016794101300548918
engineering_pilot,,,Face,Face+Scene,ssim,10,,0.0034042426177486157
engineering_pilot,,,Scene,Body+Scene,background_clip,10,,-0.014898090958595272
engineering_pilot,,,Scene,Body+Scene,background_dino,10,,-0.00038796954788267515
