background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Body+Scene_mean,target_roi,158,E3_joint_redundancy,1.0,0.13715626299381256,0.6924606561660767,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,287,E3_joint_redundancy,0.0,0.03144918382167816,0.8120236396789551,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,415,E3_joint_redundancy,0.0,0.16007766127586365,0.7049198746681213,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,465,E3_joint_redundancy,1.0,0.3444928526878357,0.7731443047523499,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,529,E3_joint_redundancy,1.0,0.30421483516693115,0.6561019420623779,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,678,E3_joint_redundancy,0.0,0.593859076499939,0.586667537689209,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,756,E3_joint_redundancy,1.0,0.3863130807876587,0.8525712490081787,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,781,E3_joint_redundancy,0.0,0.022076476365327835,0.6932456493377686,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,789,E3_joint_redundancy,0.0,0.2642386257648468,0.6724041700363159,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_mean,target_roi,973,E3_joint_redundancy,0.0,0.20866431295871735,0.8785285353660583,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.08959585428237915,0.7219982147216797,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.12732955813407898,0.8327215313911438,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.21454450488090515,0.698574423789978,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.24944858253002167,0.7993270754814148,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.2771041989326477,0.6576921343803406,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4391513764858246,0.558044970035553,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.38021302223205566,0.7966274619102478,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,781,E3_joint_redundancy,0.0,0.02820689044892788,0.6976041793823242,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.2907141447067261,0.6731658577919006,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.2090497612953186,0.8353604674339294,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.10858169198036194,0.7227019667625427,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.141463965177536,0.8295783996582031,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.21381427347660065,0.7098596692085266,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,465,E3_joint_redundancy,0.0,0.27450597286224365,0.7924677729606628,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.27481865882873535,0.6562975645065308,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.44458505511283875,0.5612505674362183,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.3940018117427826,0.7999083995819092,Face,42025,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.01871425472199917,0.6875620484352112,Face,16641,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.29159343242645264,0.6769386529922485,Face,17424,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.20729568600654602,0.8325122594833374,Face,52900,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.14238262176513672,0.7271323204040527,Face,33856,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.07491482049226761,0.8311785459518433,Face,32761,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.22412165999412537,0.6938791275024414,Face,30625,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.18134060502052307,0.8035033941268921,Face,24649,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.30572545528411865,0.65931236743927,Face,17161,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4792592525482178,0.5616002082824707,Face,17956,Body+Scene,,,,,,12345
,,mask_Body+Scene_pure_random_03_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.43477705121040344,0.8019472360610962,Face,42025,Body+Scene,,,,,,12345
