dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
158,-0.010750335186056156,Face,Body+Scene,pixel_corr,1
287,-0.015490214075539407,Face,Body+Scene,pixel_corr,1
415,-0.02144334949123384,Face,Body+Scene,pixel_corr,1
465,0.026873503112465825,Face,Body+Scene,pixel_corr,1
529,-0.0009293945480486094,Face,Body+Scene,pixel_corr,1
678,0.1339431812493618,Face,Body+Scene,pixel_corr,1
756,0.0692620923737051,Face,Body+Scene,pixel_corr,1
781,0.00471231390854994,Face,Body+Scene,pixel_corr,1
789,-0.00023240553320384976,Face,Body+Scene,pixel_corr,1
973,0.053426472099031896,Face,Body+Scene,pixel_corr,1
158,0.004054707734754193,Face,Body+Scene,ssim,1
287,0.004564032677497165,Face,Body+Scene,ssim,1
415,-0.019695218524922408,Face,Body+Scene,ssim,1
465,-0.005296387059021029,Face,Body+Scene,ssim,1
529,-7.89620810075387e-05,Face,Body+Scene,ssim,1
678,-0.01599431415957009,Face,Body+Scene,ssim,1
756,-0.04544098985179764,Face,Body+Scene,ssim,1
781,-0.0030595827391850846,Face,Body+Scene,ssim,1
789,0.0009933289966648606,Face,Body+Scene,ssim,1
973,-0.010441330290467376,Face,Body+Scene,ssim,1
158,-0.013753390312194825,Face,Body+Scene,lpips,1
287,-0.00255194902420044,Face,Body+Scene,lpips,1
415,-0.011116719245910645,Face,Body+Scene,lpips,1
465,0.0029766082763671873,Face,Body+Scene,lpips,1
529,-0.002214860916137695,Face,Body+Scene,lpips,1
678,0.010740792751312256,Face,Body+Scene,lpips,1
756,0.05973142385482788,Face,Body+Scene,lpips,1
781,0.013276875019073486,Face,Body+Scene,lpips,1
789,0.0037447571754455566,Face,Body+Scene,lpips,1
973,0.013853275775909423,Face,Body+Scene,lpips,1
158,-0.02634550929069519,Face,Body+Scene,clip,1
287,0.0690479815006256,Face,Body+Scene,clip,1
415,-0.011919355392456053,Face,Body+Scene,clip,1
465,0.04546167254447937,Face,Body+Scene,clip,1
529,-0.016237473487854003,Face,Body+Scene,clip,1
678,-0.09377371072769165,Face,Body+Scene,clip,1
756,0.09731508493423462,Face,Body+Scene,clip,1
781,-0.009916937351226805,Face,Body+Scene,clip,1
789,-0.0025552868843078617,Face,Body+Scene,clip,1
973,-0.07906654477119446,Face,Body+Scene,clip,1
158,-0.028784096240997314,Face,Body+Scene,dino,1
287,0.05417194813489914,Face,Body+Scene,dino,1
415,0.07257721722126007,Face,Body+Scene,dino,1
465,0.035148647427558896,Face,Body+Scene,dino,1
529,0.001894313097000122,Face,Body+Scene,dino,1
678,-0.2635000616312027,Face,Body+Scene,dino,1
756,0.18425470292568208,Face,Body+Scene,dino,1
781,-0.06902926564216613,Face,Body+Scene,dino,1
789,0.005323122441768646,Face,Body+Scene,dino,1
973,0.06650797128677369,Face,Body+Scene,dino,1
158,-0.030220770835876466,Face,Body+Scene,face_lpips,1
287,-0.017154693603515625,Face,Body+Scene,face_lpips,1
415,0.0005491137504577636,Face,Body+Scene,face_lpips,1
465,-0.02377375364303589,Face,Body+Scene,face_lpips,1
529,-0.0014359354972839355,Face,Body+Scene,face_lpips,1
678,0.025119853019714356,Face,Body+Scene,face_lpips,1
756,0.053768253326416014,Face,Body+Scene,face_lpips,1
781,-0.010661017894744874,Face,Body+Scene,face_lpips,1
789,-0.0010345816612243653,Face,Body+Scene,face_lpips,1
973,0.04459904432296753,Face,Body+Scene,face_lpips,1
158,-0.01773699074983597,Face,Body+Scene,face_dino,1
287,0.06775515973567962,Face,Body+Scene,face_dino,1
415,0.0652756929397583,Face,Body+Scene,face_dino,1
465,-0.09593262076377869,Face,Body+Scene,face_dino,1
529,-0.015348654985427857,Face,Body+Scene,face_dino,1
678,-0.14205752611160277,Face,Body+Scene,face_dino,1
756,0.02021205425262451,Face,Body+Scene,face_dino,1
781,0.04200782850384712,Face,Body+Scene,face_dino,1
789,-0.010791596770286557,Face,Body+Scene,face_dino,1
973,-0.007382676005363464,Face,Body+Scene,face_dino,1
158,0.0,Face,Body+Scene,face_detection_success,1
287,0.4,Face,Body+Scene,face_detection_success,1
415,0.0,Face,Body+Scene,face_detection_success,1
